Sample_ID,Date of collection,Date of Eclosion,Date of Death,Life_span,Box,Sex,Phenotype,Juv_Right_Forewing_length,Juv_Right_Hindwing_length,Pro_Juv1,Pro_Juv2,Pro_Juv3,Weight_Adu,Pro_Adu1,Pro_Adu2,Pro_Adu3,Adult_Top or Left_Forewing_length,Adult_Right_Forewing_length,
P143_SW_1,26-Apr,03-May,01-Aug,90,143,M,Sw,2.86,4.69,3.98,3.95,3.98,0.594,3.98,3.94,4.09,9.56,9.36,
P143_SW_3,26-Apr,29-Apr,25-Aug,118,143,M,Sw,2.99,4.66,3.83,3.78,3.82,0.531,3.97,3.94,4.04,10.14,9.86,
P143_SW_4,26-Apr,03-May,29-Jul,87,143,M,Sw,2.24,4.63,3.77,3.89,3.87,0.525,4.03,3.97,3.93,9.47,7.84,
P143_SW_5,26-Apr,09-May,31-Jul,83,143,M,Sw,2.17,3.86,3.51,3.63,3.62,0.589,3.81,3.87,3.80,8.45,8.65,
P143_SW_6,26-Apr,29-Apr,31-Jul,93,143,M,Sw,2.74,4.66,4.00,3.92,3.95,0.501,4.03,3.96,3.99,9.13,9.34,
P143_SW_7,26-Apr,29-Apr,01-Aug,94,143,M,Sw,2.47,4.64,3.60,3.64,3.67,0.460,3.78,3.69,3.79,9.47,9.29,
P146_NW24,29-Apr,11-May,25-Jul,75,146,M,Lw,3.62,5.79,3.56,3.58,3.59,0.526,3.67,3.70,3.63,13.09,,
P146_NW25,29-Apr,11-May,18-Jul,68,146,M,Lw,3.59,5.74,3.51,3.47,3.46,0.502,3.63,3.56,3.62,13.11,,
P146_NW26,29-Apr,12-May,24-Jul,73,146,M,Lw,3.63,5.98,3.64,3.71,3.76,0.541,3.85,3.86,3.86,13.01,,
P146_NW27,29-Apr,06-May,11-Aug,97,146,M,Lw,3.98,6.20,3.86,3.78,3.90,0.514,3.88,3.92,3.96,13.37,,
P146_NW_F22,29-Apr,02-May,16-Jul,75,146,F,Lw,3.99,5.53,3.34,3.32,3.28,0.442,3.64,3.52,3.55,12.68,,
P145_NW4,29-Apr,30-Apr,20-Jul,81,145,M,Lw,4.32,6.20,3.81,3.82,3.73,0.637,4.14,4.07,4.09,13.45,,
P145_NW_F9,29-Apr,11-May,25-Jun,45,145,F,Lw,3.14,5.41,3.57,3.64,3.67,0.533,3.74,3.66,3.78,13.07,,
P145_NW_F10,29-Apr,07-May,23-Aug,108,145,F,Lw,4.19,6.26,3.80,3.82,3.85,0.573,4.07,4.02,3.99,13.32,,
P145_NW_F11,29-Apr,08-May,08-Aug,92,145,F,Lw,3.61,5.87,3.70,3.61,3.78,0.457,3.69,3.60,3.69,12.77,,
P145_NW_F12,29-Apr,07-May,03-Jul,57,145,F,Lw,3.84,6.26,4.05,4.02,3.99,0.605,4.13,4.22,4.21,13.33,,
P145_NW_F13,29-Apr,08-May,26-Jun,49,145,F,Lw,3.72,6.06,3.91,3.92,3.90,0.595,4.04,4.00,4.01,13.00,,
P136_SW_F18,29-Apr,09-May,27-Aug,110,136,F,Sw,2.06,4.59,3.67,3.67,3.73,0.520,3.83,3.88,3.89,8.57,8.86,
P136_SW_F19,29-Apr,11-May,10-Aug,91,136,F,Sw,1.99,4.59,3.74,3.70,3.76,0.589,3.89,3.95,3.92,9.52,10.60,
P136_SW_F20,29-Apr,05-May,31-Jul,87,136,F,Sw,2.40,4.49,3.49,3.51,3.51,0.455,3.68,3.75,3.77,8.34,9.00,
P136_SW_F21,29-Apr,30-Apr,24-Jul,85,136,F,Sw,2.53,4.55,3.44,3.32,3.37,0.457,3.61,3.75,3.72,9.02,8.38,
P136_SW_F22,29-Apr,02-May,17-Jul,76,136,F,Sw,2.72,4.92,3.88,3.80,3.84,0.610,4.11,3.98,4.06,10.25,9.92,
P136_SW_F23,29-Apr,10-May,15-May,5,136,F,Sw,2.08,4.06,3.47,3.51,3.44,0.449,3.53,3.55,3.56,7.65,8.13,
P136_SW_F24,29-Apr,12-May,05-Aug,85,136,F,Sw,2.03,4.34,3.35,3.40,3.34,0.463,3.51,3.53,3.50,9.12,8.16,
P136_SW_F25,29-Apr,06-May,12-May,6,136,F,Sw,2.23,4.64,3.59,3.57,3.65,0.504,3.71,3.71,3.69,8.68,8.63,
P136_SW16,29-Apr,12-May,17-Sep,128,136,M,Sw,2.27,4.76,3.95,4.03,3.98,0.641,4.13,4.20,4.18,10.47,10.07,
P136_SW17,29-Apr,30-Apr,01-Aug,93,136,M,Sw,2.86,4.88,3.86,3.81,3.84,0.566,4.06,4.15,4.06,9.68,9.44,
P136_SW18,29-Apr,01-May,11-Aug,102,136,M,Sw,2.75,4.35,3.47,3.49,3.54,0.487,3.82,3.78,3.72,9.02,9.02,
P136_SW19,29-Apr,05-May,03-Aug,90,136,M,Sw,2.87,4.89,4.02,3.96,4.06,0.621,4.04,3.94,4.04,10.28,9.80,
P136_SW20,29-Apr,05-May,26-Aug,113,136,M,Sw,2.33,4.53,3.81,3.74,3.83,0.580,4.00,3.92,3.90,9.95,8.51,
P136_SW21,29-Apr,10-May,23-Jul,74,136,M,Sw,2.53,4.63,3.63,3.76,3.66,0.567,3.65,3.62,3.58,9.48,9.80,
P149_SW25,29-Apr,09-May,25-Aug,108,149,M,Sw,2.66,4.83,3.89,3.88,3.82,0.573,3.94,3.97,3.90,9.79,9.80,
P149_SW26,29-Apr,11-May,12-Jul,62,149,M,Sw,2.54,4.54,3.94,3.91,3.93,0.548,3.79,3.72,3.75,10.10,10.33,
P149_SW27,29-Apr,08-May,18-Aug,102,149,M,Sw,2.46,4.84,3.92,3.95,4.01,0.597,3.98,3.93,4.02,10.26,10.43,
P149_NW_F14,29-Apr,07-May,30-Jul,84,149,F,Lw,3.28,5.78,3.74,3.64,3.65,0.502,3.77,3.81,3.85,12.15,,
P149_NW_F15,29-Apr,05-May,07-Aug,94,149,F,Lw,3.50,5.79,3.72,3.75,3.74,0.521,3.87,3.84,3.79,11.96,,
P149_NW_F16,29-Apr,05-May,17-Jul,73,149,F,Lw,3.73,6.08,3.88,3.99,3.95,0.559,4.14,4.09,4.14,11.79,,
P143_SW8,01-May,13-May,01-Aug,80,143,M,Sw,3.45,4.82,3.61,3.67,3.62,0.503,3.70,3.71,3.72,9.87,10.23,
P143_SW9,01-May,11-May,14-Jul,64,143,M,Sw,2.27,4.59,3.61,3.59,3.62,0.511,3.81,3.82,3.78,9.25,10.06,
P143_SW_F8,01-May,14-May,07-Aug,85,143,F,Sw,2.19,4.64,3.52,3.53,3.56,0.534,3.64,3.68,3.67,8.02,7.54,
P152_NW1,01-May,03-May,09-Aug,98,152,M,Lw,4.45,7.06,3.98,4.09,4.06,0.681,4.11,4.10,4.04,13.79,,
P152_NW2,01-May,12-May,05-Aug,85,152,M,Lw,3.62,5.73,3.97,3.98,4.00,0.563,4.00,4.03,3.97,13.48,,
