Sample_ID,Date of collection,Box,Sex,Phenotype,Weight,Time_of_weight,Mean,SD,N,SE,Note,
P146_NW23,17-Apr,146,M,Lw,0.522,W6,,,,,,
P146_NW24,29-Apr,146,M,Lw,0.510,W6,,,,,,
P146_NW26,29-Apr,146,M,Lw,0.565,W6,,,,,,
P146_NW27,29-Apr,146,M,Lw,0.589,W6,,,,,,
P145_NW4,29-Apr,145,M,Lw,0.650,W6,,,,,,
P152_NW1,01-May,152,M,Lw,0.697,W6,,,,,,
P152_NW2,01-May,152,M,Lw,0.569,W6,,,,,,
P152_NW4,01-May,152,M,Lw,0.543,W6,,,,,,
P152_NW5,01-May,152,M,Lw,0.603,W6,,,,,,
P152_NW7,01-May,152,M,Lw,0.572,W6,,,,,,
P152_NW8,01-May,152,M,Lw,0.668,W6,,,,,,
P152_NW9,01-May,152,M,Lw,0.601,W6,,,,,,
P152_NW10,10-May,152,M,Lw,0.556,W6,,,,,,
P152_NW11,10-May,152,M,Lw,0.457,W6,,,,,,
P152_NW12,10-May,152,M,Lw,0.557,W6,,,,,,
P152_NW13,10-May,152,M,Lw,0.526,W6,,,,,,
P152_NW14,10-May,152,M,Lw,0.530,W6,,,,,,
P152_NW15,10-May,152,M,Lw,0.634,W6,,,,,,
P152_NW16,10-May,152,M,Lw,0.508,W6,,,,,,
P152_NW17,10-May,152,M,Lw,0.610,W6,,,,,,
P152_NW19,10-May,152,M,Lw,0.670,W6,,,,,,
P145_NW6,14-May,145,M,Lw,0.591,W6,,,,,,
P146_NW1,05-Apr,146,M,Lw,0.528,W8,0.562,0.051,40,0.008,,
P146_NW3,05-Apr,146,M,Lw,0.582,W8,,,,,,
P145_NW2,14-Apr,145,M,Lw,0.547,W8,,,,,,
P145_NW3,14-Apr,145,M,Lw,0.561,W8,,,,,,
P146_NW5,17-Apr,146,M,Lw,0.569,W8,,,,,,
P146_NW6,17-Apr,146,M,Lw,0.476,W8,,,,,,
P146_NW7,17-Apr,146,M,Lw,0.551,W8,,,,,,
P146_NW8,17-Apr,146,M,Lw,0.609,W8,,,,,,
P146_NW10,17-Apr,146,M,Lw,0.544,W8,,,,,,
P146_NW11,17-Apr,146,M,Lw,0.502,W8,,,,,,
P146_NW12,17-Apr,146,M,Lw,0.617,W8,,,,,,
P146_NW14,17-Apr,146,M,Lw,0.500,W8,,,,,,
P146_NW15,17-Apr,146,M,Lw,0.533,W8,,,,,,
P146_NW16,17-Apr,146,M,Lw,0.544,W8,,,,,,
