Sample_ID,Date of collection,Box,Sex,Phenotype,Weight,Time_of_weight,Mean,SD,N,SE,Note,
P143_SW8,01-May,143,M,Sw,0.541,W2,,,,,,
P149_SW28,08-May,149,M,Sw,0.733,W2,,,,,,
P136_SW23,08-May,136,M,Sw,0.565,W2,,,,,,
P143_SW10,08-May,143,M,Sw,0.513,W2,,,,,,
P136_SW24,14-May,136,M,Sw,0.719,W2,,,,,,
P136_SW25,14-May,136,M,Sw,0.604,W2,,,,,,
P136_SW26,14-May,136,M,Sw,0.591,W2,,,,,,
P149_SW1,05-Apr,149,M,Sw,0.520,W4,0.563,0.060,56,0.008,,
P149_SW2,05-Apr,149,M,Sw,0.508,W4,,,,,,
P149_SW3,05-Apr,149,M,Sw,0.531,W4,,,,,,
P149_SW4,05-Apr,149,M,Sw,0.501,W4,,,,,,
P149_SW5,05-Apr,149,M,Sw,0.487,W4,,,,,,
P149_SW6,05-Apr,149,M,Sw,0.559,W4,,,,,,
P149_SW7,05-Apr,149,M,Sw,0.536,W4,,,,,,
P149_SW8,05-Apr,149,M,Sw,0.490,W4,,,,,,
P149_SW9,05-Apr,149,M,Sw,0.502,W4,,,,,,
P149_SW10,05-Apr,149,M,Sw,0.506,W4,,,,,,
P149_SW12,05-Apr,149,M,Sw,0.463,W4,,,,,,
P149_SW13,05-Apr,149,M,Sw,0.576,W4,,,,,,
P136_SW1,06-Apr,136,M,Sw,0.661,W4,,,,,,
P136_SW2,06-Apr,136,M,Sw,0.564,W4,,,,,,
P136_SW4,06-Apr,136,M,Sw,0.591,W4,,,,,,
P136_SW5,06-Apr,136,M,Sw,0.605,W4,,,,,,
P136_SW8,06-Apr,136,M,Sw,0.525,W4,,,,,,
P136_SW9,06-Apr,136,M,Sw,0.638,W4,,,,,,
P136_SW10,06-Apr,136,M,Sw,0.620,W4,,,,,,
P136_SW11,14-Apr,136,M,Sw,0.633,W4,,,,,,
P136_SW12,14-Apr,136,M,Sw,0.584,W4,,,,,,
P136_SW13,14-Apr,136,M,Sw,0.542,W4,,,,,,
P136_SW14,14-Apr,136,M,Sw,0.617,W4,,,,,,
P136_SW15,14-Apr,136,M,Sw,0.573,W4,,,,,,
P149_SW14,18-Apr,149,M,Sw,0.577,W4,,,,,,
P149_SW15,18-Apr,149,M,Sw,0.486,W4,,,,,,
P149_SW16,18-Apr,149,M,Sw,0.521,W4,,,,,,
P149_SW17,18-Apr,149,M,Sw,0.602,W4,,,,,,
P149_SW18,18-Apr,149,M,Sw,0.509,W4,,,,,,
P149_SW19,18-Apr,149,M,Sw,0.505,W4,,,,,,
P149_SW20,18-Apr,149,M,Sw,0.573,W4,,,,,,
P149_SW21,18-Apr,149,M,Sw,0.536,W4,,,,,,
P149_SW22,18-Apr,149,M,Sw,0.516,W4,,,,,,
P149_SW23,18-Apr,149,M,Sw,0.518,W4,,,,,,
P149_SW24,18-Apr,149,M,Sw,0.616,W4,,,,,,
P143_SW_1,26-Apr,143,M,Sw,0.640,W4,,,,,,
P143_SW_3,26-Apr,143,M,Sw,0.538,W4,,,,,,
P143_SW_4,26-Apr,143,M,Sw,0.522,W4,,,,,,
P143_SW_5,26-Apr,143,M,Sw,0.545,W4,,,,,,
P143_SW_6,26-Apr,143,M,Sw,0.513,W4,,,,,,
P143_SW_7,26-Apr,143,M,Sw,0.448,W4,,,,,,
P136_SW16,29-Apr,136,M,Sw,0.659,W4,,,,,,
P136_SW17,29-Apr,136,M,Sw,0.587,W4,,,,,,
P136_SW18,29-Apr,136,M,Sw,0.516,W4,,,,,,
P136_SW19,29-Apr,136,M,Sw,0.664,W4,,,,,,
P136_SW20,29-Apr,136,M,Sw,0.634,W4,,,,,,
P136_SW21,29-Apr,136,M,Sw,0.546,W4,,,,,,
P149_SW25,29-Apr,149,M,Sw,0.602,W4,,,,,,
P149_SW27,29-Apr,149,M,Sw,0.593,W4,,,,,,
P143_SW8,01-May,143,M,Sw,0.520,W4,,,,,,
P149_SW28,08-May,149,M,Sw,0.729,W4,,,,,,
P136_SW23,08-May,136,M,Sw,0.564,W4,,,,,,
P143_SW10,08-May,143,M,Sw,0.538,W4,,,,,,
P136_SW24,14-May,136,M,Sw,0.707,W4,,,,,,
P136_SW25,14-May,136,M,Sw,0.589,W4,,,,,,
P136_SW26,14-May,136,M,Sw,0.593,W4,,,,,,
P149_SW1,05-Apr,149,M,Sw,0.482,W6,0.554,0.056,56,0.007,,
P149_SW2,05-Apr,149,M,Sw,0.504,W6,,,,,,
P149_SW3,05-Apr,149,M,Sw,0.517,W6,,,,,,
P149_SW4,05-Apr,149,M,Sw,0.496,W6,,,,,,
P149_SW5,05-Apr,149,M,Sw,0.486,W6,,,,,,
P149_SW6,05-Apr,149,M,Sw,0.526,W6,,,,,,
P149_SW7,05-Apr,149,M,Sw,0.499,W6,,,,,,
P149_SW8,05-Apr,149,M,Sw,0.509,W6,,,,,,
P149_SW9,05-Apr,149,M,Sw,0.480,W6,,,,,,
P149_SW10,05-Apr,149,M,Sw,0.519,W6,,,,,,
P149_SW12,05-Apr,149,M,Sw,0.455,W6,,,,,,
P149_SW13,05-Apr,149,M,Sw,0.555,W6,,,,,,
P136_SW1,06-Apr,136,M,Sw,0.639,W6,,,,,,
P136_SW2,06-Apr,136,M,Sw,0.548,W6,,,,,,
P136_SW4,06-Apr,136,M,Sw,0.533,W6,,,,,,
P136_SW5,06-Apr,136,M,Sw,0.561,W6,,,,,,
P136_SW8,06-Apr,136,M,Sw,0.561,W6,,,,,,
P136_SW9,06-Apr,136,M,Sw,0.613,W6,,,,,,
P136_SW10,06-Apr,136,M,Sw,0.616,W6,,,,,,
P136_SW11,14-Apr,136,M,Sw,0.634,W6,,,,,,
P136_SW12,14-Apr,136,M,Sw,0.593,W6,,,,,,
P136_SW13,14-Apr,136,M,Sw,0.547,W6,,,,,,
P136_SW14,14-Apr,136,M,Sw,0.606,W6,,,,,,
P136_SW15,14-Apr,136,M,Sw,0.570,W6,,,,,,
P149_SW14,18-Apr,149,M,Sw,0.578,W6,,,,,,
P149_SW15,18-Apr,149,M,Sw,0.492,W6,,,,,,
P149_SW16,18-Apr,149,M,Sw,0.510,W6,,,,,,
P149_SW17,18-Apr,149,M,Sw,0.587,W6,,,,,,
P149_SW18,18-Apr,149,M,Sw,0.486,W6,,,,,,
P149_SW19,18-Apr,149,M,Sw,0.526,W6,,,,,,
P149_SW20,18-Apr,149,M,Sw,0.561,W6,,,,,,
P149_SW21,18-Apr,149,M,Sw,0.520,W6,,,,,,
P149_SW22,18-Apr,149,M,Sw,0.506,W6,,,,,,
P149_SW23,18-Apr,149,M,Sw,0.509,W6,,,,,,
P149_SW24,18-Apr,149,M,Sw,0.628,W6,,,,,,
P143_SW_1,26-Apr,143,M,Sw,0.647,W6,,,,,,
P143_SW_3,26-Apr,143,M,Sw,0.533,W6,,,,,,
P143_SW_4,26-Apr,143,M,Sw,0.515,W6,,,,,,
P143_SW_5,26-Apr,143,M,Sw,0.576,W6,,,,,,
P143_SW_6,26-Apr,143,M,Sw,0.523,W6,,,,,,
P143_SW_7,26-Apr,143,M,Sw,0.487,W6,,,,,,
P136_SW16,29-Apr,136,M,Sw,0.653,W6,,,,,,
P136_SW17,29-Apr,136,M,Sw,0.558,W6,,,,,,
P136_SW18,29-Apr,136,M,Sw,0.510,W6,,,,,,
P136_SW19,29-Apr,136,M,Sw,0.629,W6,,,,,,
P136_SW20,29-Apr,136,M,Sw,0.605,W6,,,,,,
P136_SW21,29-Apr,136,M,Sw,0.530,W6,,,,,,
P149_SW25,29-Apr,149,M,Sw,0.565,W6,,,,,,
P149_SW27,29-Apr,149,M,Sw,0.590,W6,,,,,,
P143_SW8,01-May,143,M,Sw,0.514,W6,,,,,,
P149_SW28,08-May,149,M,Sw,0.693,W6,,,,,,
P136_SW23,08-May,136,M,Sw,0.534,W6,,,,,,
P143_SW10,08-May,143,M,Sw,0.539,W6,,,,,,
P136_SW24,14-May,136,M,Sw,0.703,W6,,,,,,
P136_SW25,14-May,136,M,Sw,0.571,W6,,,,,,
P136_SW26,14-May,136,M,Sw,0.571,W6,,,,,,
P149_SW1,05-Apr,149,M,Sw,0.510,W8,0.544,0.056,56,0.007,,
P149_SW2,05-Apr,149,M,Sw,0.503,W8,,,,,,
P149_SW3,05-Apr,149,M,Sw,0.508,W8,,,,,,
P149_SW4,05-Apr,149,M,Sw,0.489,W8,,,,,,
P149_SW5,05-Apr,149,M,Sw,0.477,W8,,,,,,
P149_SW6,05-Apr,149,M,Sw,0.535,W8,,,,,,
P149_SW7,05-Apr,149,M,Sw,0.526,W8,,,,,,
P149_SW8,05-Apr,149,M,Sw,0.508,W8,,,,,,
P149_SW9,05-Apr,149,M,Sw,0.474,W8,,,,,,
P149_SW10,05-Apr,149,M,Sw,0.495,W8,,,,,,
P149_SW12,05-Apr,149,M,Sw,0.444,W8,,,,,,
P149_SW13,05-Apr,149,M,Sw,0.543,W8,,,,,,
P136_SW1,06-Apr,136,M,Sw,0.633,W8,,,,,,
P136_SW2,06-Apr,136,M,Sw,0.544,W8,,,,,,
P136_SW4,06-Apr,136,M,Sw,0.572,W8,,,,,,
P136_SW5,06-Apr,136,M,Sw,0.599,W8,,,,,,
P136_SW8,06-Apr,136,M,Sw,0.513,W8,,,,,,
P136_SW9,06-Apr,136,M,Sw,0.609,W8,,,,,Measured one day later,
P136_SW10,06-Apr,136,M,Sw,0.596,W8,,,,,,
P136_SW11,14-Apr,136,M,Sw,0.633,W8,,,,,,
P136_SW12,14-Apr,136,M,Sw,0.582,W8,,,,,,
P136_SW13,14-Apr,136,M,Sw,0.529,W8,,,,,,
P136_SW14,14-Apr,136,M,Sw,0.580,W8,,,,,,
P136_SW15,14-Apr,136,M,Sw,0.566,W8,,,,,,
P149_SW14,18-Apr,149,M,Sw,0.569,W8,,,,,,
P149_SW15,18-Apr,149,M,Sw,0.464,W8,,,,,,
P149_SW16,18-Apr,149,M,Sw,0.523,W8,,,,,,
P149_SW17,18-Apr,149,M,Sw,0.580,W8,,,,,,
P149_SW18,18-Apr,149,M,Sw,0.510,W8,,,,,,
P149_SW19,18-Apr,149,M,Sw,0.535,W8,,,,,,
P149_SW20,18-Apr,149,M,Sw,0.554,W8,,,,,,
P149_SW21,18-Apr,149,M,Sw,0.512,W8,,,,,,
P149_SW22,18-Apr,149,M,Sw,0.496,W8,,,,,,
P149_SW23,18-Apr,149,M,Sw,0.494,W8,,,,,,
P149_SW24,18-Apr,149,M,Sw,0.590,W8,,,,,,
P143_SW_1,26-Apr,143,M,Sw,0.602,W8,,,,,,
P143_SW_3,26-Apr,143,M,Sw,0.534,W8,,,,,,
P143_SW_4,26-Apr,143,M,Sw,0.478,W8,,,,,,
P143_SW_5,26-Apr,143,M,Sw,0.589,W8,,,,,,
P143_SW_6,26-Apr,143,M,Sw,0.456,W8,,,,,,
P143_SW_7,26-Apr,143,M,Sw,0.458,W8,,,,,,
P136_SW16,29-Apr,136,M,Sw,0.635,W8,,,,,,
P136_SW17,29-Apr,136,M,Sw,0.553,W8,,,,,,
P136_SW18,29-Apr,136,M,Sw,0.500,W8,,,,,,
P136_SW19,29-Apr,136,M,Sw,0.629,W8,,,,,,
P136_SW20,29-Apr,136,M,Sw,0.603,W8,,,,,,
P136_SW21,29-Apr,136,M,Sw,0.511,W8,,,,,,
P149_SW25,29-Apr,149,M,Sw,0.589,W8,,,,,,
P149_SW27,29-Apr,149,M,Sw,0.579,W8,,,,,,
P143_SW8,01-May,143,M,Sw,0.457,W8,,,,,,
P149_SW28,08-May,149,M,Sw,0.653,W8,,,,,,
P136_SW23,08-May,136,M,Sw,0.517,W8,,,,,,
P143_SW10,08-May,143,M,Sw,0.507,W8,,,,,,
P136_SW24,14-May,136,M,Sw,0.681,W8,,,,,,
P136_SW25,14-May,136,M,Sw,0.569,W8,,,,,,
P136_SW26,14-May,136,M,Sw,0.553,W8,,,,,,
P149_SW1,05-Apr,149,M,Sw,0.460,W10,0.532,0.060,56,0.008,,
P149_SW2,05-Apr,149,M,Sw,0.469,W10,,,,,,
P149_SW3,05-Apr,149,M,Sw,0.452,W10,,,,,,
P149_SW4,05-Apr,149,M,Sw,0.494,W10,,,,,,
P149_SW5,05-Apr,149,M,Sw,0.455,W10,,,,,,
P149_SW6,05-Apr,149,M,Sw,0.529,W10,,,,,,
P149_SW7,05-Apr,149,M,Sw,0.522,W10,,,,,,
P149_SW8,05-Apr,149,M,Sw,0.494,W10,,,,,,
P149_SW9,05-Apr,149,M,Sw,0.465,W10,,,,,,
P149_SW10,05-Apr,149,M,Sw,0.479,W10,,,,,,
P149_SW12,05-Apr,149,M,Sw,0.440,W10,,,,,,
P149_SW13,05-Apr,149,M,Sw,0.541,W10,,,,,,
P136_SW1,06-Apr,136,M,Sw,0.655,W10,,,,,,
P136_SW2,06-Apr,136,M,Sw,0.544,W10,,,,,,
P136_SW4,06-Apr,136,M,Sw,0.553,W10,,,,,,
P136_SW5,06-Apr,136,M,Sw,0.551,W10,,,,,,
P136_SW8,06-Apr,136,M,Sw,0.517,W10,,,,,,
P136_SW9,06-Apr,136,M,Sw,0.592,W10,,,,,,
P136_SW10,06-Apr,136,M,Sw,0.589,W10,,,,,,
P136_SW11,14-Apr,136,M,Sw,0.605,W10,,,,,,
P136_SW12,14-Apr,136,M,Sw,0.584,W10,,,,,,
P136_SW13,14-Apr,136,M,Sw,0.566,W10,,,,,,
P136_SW14,14-Apr,136,M,Sw,0.551,W10,,,,,,
P136_SW15,14-Apr,136,M,Sw,0.563,W10,,,,,,
P149_SW14,18-Apr,149,M,Sw,0.581,W10,,,,,,
P149_SW15,18-Apr,149,M,Sw,0.507,W10,,,,,,
P149_SW16,18-Apr,149,M,Sw,0.498,W10,,,,,,
P149_SW17,18-Apr,149,M,Sw,0.582,W10,,,,,,
P149_SW18,18-Apr,149,M,Sw,0.392,W10,,,,,,
P149_SW19,18-Apr,149,M,Sw,0.488,W10,,,,,,
P149_SW20,18-Apr,149,M,Sw,0.548,W10,,,,,,
P149_SW21,18-Apr,149,M,Sw,0.465,W10,,,,,,
P149_SW22,18-Apr,149,M,Sw,0.502,W10,,,,,,
P149_SW23,18-Apr,149,M,Sw,0.503,W10,,,,,,
P149_SW24,18-Apr,149,M,Sw,0.564,W10,,,,,,
P143_SW_1,26-Apr,143,M,Sw,0.594,W10,,,,,,
P143_SW_3,26-Apr,143,M,Sw,0.523,W10,,,,,,
P143_SW_4,26-Apr,143,M,Sw,0.491,W10,,,,,,
P143_SW_5,26-Apr,143,M,Sw,0.520,W10,,,,,,
P143_SW_6,26-Apr,143,M,Sw,0.517,W10,,,,,,
P143_SW_7,26-Apr,143,M,Sw,0.458,W10,,,,,,
P136_SW16,29-Apr,136,M,Sw,0.650,W10,,,,,,
P136_SW17,29-Apr,136,M,Sw,0.548,W10,,,,,,
P136_SW18,29-Apr,136,M,Sw,0.514,W10,,,,,,
P136_SW19,29-Apr,136,M,Sw,0.613,W10,,,,,,
P136_SW20,29-Apr,136,M,Sw,0.589,W10,,,,,,
P136_SW21,29-Apr,136,M,Sw,0.440,W10,,,,,,
P149_SW25,29-Apr,149,M,Sw,0.571,W10,,,,,,
P149_SW27,29-Apr,149,M,Sw,0.563,W10,,,,,,
P143_SW8,01-May,143,M,Sw,0.446,W10,,,,,,
P149_SW28,08-May,149,M,Sw,0.654,W10,,,,,,
P136_SW23,08-May,136,M,Sw,0.561,W10,,,,,,
P143_SW10,08-May,143,M,Sw,0.499,W10,,,,,,
P136_SW24,14-May,136,M,Sw,0.640,W10,,,,,,
P136_SW25,14-May,136,M,Sw,0.582,W10,,,,,,
P136_SW26,14-May,136,M,Sw,0.538,W10,,,,,,
