Box_ID,Sample_ID,Morph,Sex,Phenotype,Muscle_type,Weight(Day0;g),Weight(Day14;g),Pronotum(mm),Ave_Wing_length(mm),Left_wing(mm),Right_wing(mm),W_Gonads(g),Egg_number,W_DLM(g),W_DVM(g),Color_DLM,,Note
B5,B5B_Sw_M3,Sw,M,Sw_M,Sw_M_White,0.4,0.41,3.36,9.49,9.63,9.35,0.0222,,0.0025,0.0197,White,,
B5,B5B_Sw_M4,Sw,M,Sw_M,Sw_M_White,0.471,0.516,3.73,10.21,9.81,10.61,0.029,,0.0019,0.022,White,,
B5,B5B_Sw_M6,Sw,M,Sw_M,Sw_M_White,0.515,0.503,3.73,8.73,8.85,8.61,0.027,,0.0036,0.0251,White,,
B5,B5B_Sw_M7,Sw,M,Sw_M,Sw_M_White,0.483,0.542,3.68,9.45,9.37,9.53,0.031,,0.0035,0.0267,White,,
B3,B3B_Sw_F6,Sw,F,Sw_F,Sw_F_White,0.371,0.49,3.4,,,7.81(slightly broken),0.1731,282,0.0008,0.0158,White,,
B3,B3B_Lw_F17,Lw,F,Lw_F,Lw_F_White,0.337,0.453,3.29,11.88,11.89,11.86,0.1367,227,0.0062,0.0161,White,,
B3,B3B_Lw_F18,Lw,F,Lw_F,Lw_F_White,0.368,0.46,3.49,12.4,12.45,12.34,0.1123,183,0.0023,0.0111,White,,
B3,B3A_Sw_F5,Sw,F,Sw_F,Sw_F_White,0.465,0.652,3.86,8.9,8.94,8.86,0.2155,368,0.0017,0.0201,White,,
B4,B3A_Sw_M5,Sw,M,Sw_M,Sw_M_White,0.375,0.395,3.33,9.14,9.27,9.01,0.0206,,0.0011,0.0137,White,,
B5,B3A_Sw_M6,Sw,M,Sw_M,Sw_M_White,0.371,0.366,3.15,7.79,7.56,8.02,0.021,,0.0026,0.0159,White,,
B3,B3A_Lw_F10,Lw,F,Lw_F,Lw_F_Pink or Red,0.481,0.576,3.75,13.05,13.04,13.06,0.131,205,0.0075,0.0205,Pink or Red,,
B3,B3A_Lw_F11,Lw,F,Lw_F,Lw_F_Pink or Red,0.458,0.598,3.74,13.18,13.21,13.15,0.157,263,0.011,0.0306,Pink or Red,,
,B3A_Lw_M13,Lw,M,Lw_M,Lw_M_White,0.431,0.441,3.72,13.27,13.37,13.16,0.0267,,0.0026,0.0189,White,,
B3,B3A_Lw_M14,Lw,M,Lw_M,Lw_M_White,0.499,0.549,3.85,13.52,13.53,13.51,0.0264,,0.0037,0.0219,White,,
B3,B3A_Sw_MX1,Sw,M,Sw_M,Sw_M_White,0.531,0.55,3.84,10.28,10.61,9.95,0.0311,,0.0039,0.0229,White,,
B4,B4A_Lw_M10,Lw,M,Lw_M,Lw_M_White,0.471,0.483,3.72,13.61,13.62,13.59,0.022,,0.0034,0.02,White,,
B4,B4B_Sw_M3,Sw,M,Sw_M,Sw_M_White,0.495,0.521,3.71,9.66,9.55,9.77,0.0264,,0.0029,0.0235,White,,
B4,B4B_Lw_M10,Lw,M,Lw_M,Lw_M_White,0.444,0.45,3.43,12.92,12.89,12.94,0.0224,,0.0028,0.0219,White,,
B5,B5A_Sw_F10,Sw,F,Sw_F,Sw_F_White,0.421,0.597,3.7,9.05,9.32,8.78,0.1827,329,0.0017,0.0174,White,,
B5,B5A_Lw_F10,Lw,F,Lw_F,Lw_F_Pink or Red,0.53,0.585,3.86,13.32,13.28,13.36,0.1483,279,0.014,0.0338,Pink or Red,,
B5,B5A_Lw_F11,Lw,F,Lw_F,Lw_F_Pink or Red,0.49,0.542,3.7,12.81,12.91,12.7,0.1367,216,0.0114,0.0297,Pink or Red,,
B5,B5A_Sw_M7,Sw,M,Sw_M,Sw_M_White,0.376,0.408,3.4,9.08,9.29,8.87,0.022,,0.0032,0.0195,White,,
B5,B5A_Sw_M8,Sw,M,Sw_M,Sw_M_White,0.436,0.484,3.69,9.96,9.86,10.05,0.0272,,0.0025,0.0226,White,,
B5,B5A_Sw_M9,Sw,M,Sw_M,Sw_M_White,0.563,0.565,3.88,10.23,10.38,10.08,0.0325,,0.0029,0.0245,White,,
B5,B5A_Sw_M10,Sw,M,Sw_M,Sw_M_White,0.504,0.557,3.81,10.16,10.32,9.99,0.032,,0.0032,0.0232,White,,
B5,B5A_Sw_M11,Sw,M,Sw_M,Sw_M_White,0.532,0.567,3.88,10.32,10.34,10.29,0.0351,,0.0035,0.0266,White,,
B5,B5A_Lw_M4,Lw,M,Lw_M,Lw_M_White,0.469,0.488,3.76,13.21,13.32,13.1,0.0278,,0.0034,0.0178,White,,
B5,B5A_Lw_M5,Lw,M,Lw_M,Lw_M_Pink or Red,0.47,0.509,3.6,13.34,13.54,13.13,0.0278,,0.0078,0.0204,Pink or Red,,
B5,B5A_Lw_M6,Lw,M,Lw_M,Lw_M_White,0.428,0.47,3.43,12.67,12.66,12.67,0.0295,,0.0037,0.0207,White,,
B5,B5B_Sw_F4,Sw,F,Sw_F,Sw_F_White,0.408,0.492,3.47,8.62,8.75,8.48,0.1501,293,0.0015,0.0149,White,,
B5,B5B_Sw_F5,Sw,F,Sw_F,Sw_F_White,0.519,0.604,3.67,8.78,8.74,8.81,0.1861,347,0.0017,0.019,White,,
B5,B5B_Lw_F7,Lw,F,Lw_F,Lw_F_White,0.391,0.507,3.55,12.16,12.16,12.15,0.1118,162,0.0047,0.0172,White,,
B5,B5B_Sw_M8,Sw,M,Sw_M,Sw_M_White,0.46,0.464,3.71,9.06,8.73,9.39,0.0266,,0.0022,0.0173,White,,
