Generation,Sample_Group,Sample_ID,Phenotype,Mean_Harp_Size,Left_Harp_Size,Right_Harp_Size,,
F7,Flight_Muscle_2024,B4A_Lw_M2,Lw,7.958,7.959,7.956,,
F7,Flight_Muscle_2024,B4A_Lw_M3,Lw,8.049,7.79,8.307,,
F7,Flight_Muscle_2024,B4A_Lw_M4,Lw,7.447,7.293,7.6,,
F7,Flight_Muscle_2024,B4A_Lw_M6,Lw,8.209,8.297,8.121,,
F7,Flight_Muscle_2024,B4A_Lw_M7,Lw,8.257,8.062,8.452,,
F7,Flight_Muscle_2024,B4A_Lw_M10,Lw,8.824,8.696,8.952,,
F7,Flight_Muscle_2024,B4A_Lw_M11-1,Lw,8.078,7.97,8.185,,
F7,Flight_Muscle_2024,B4A_Lw_M11-2,Lw,9.102,9.111,9.093,,
F7,Flight_Muscle_2024,B4B_Lw_M1,Lw,7.608,7.55,7.666,,
F7,Flight_Muscle_2024,B4B_Lw_M2,Lw,7.699,7.627,7.771,,
F7,Flight_Muscle_2024,B4B_Lw_M3,Lw,8.707,8.871,8.542,,
F7,Flight_Muscle_2024,B4B_Lw_M4,Lw,8.654,8.524,8.783,,
F7,Flight_Muscle_2024,B4B_Lw_M10,Lw,8.217,8.44,7.994,,
F7,Flight_Muscle_2024,B5A_Lw_M3,Lw,9.328,9.163,9.492,,
F7,Flight_Muscle_2024,B5A_Lw_M4,Lw,8.291,8.224,8.357,,
F7,Flight_Muscle_2024,B5A_Lw_M5,Lw,8.549,8.631,8.466,,
F7,Flight_Muscle_2024,B5A_Lw_M6,Lw,7.855,7.716,7.993,,
F7,Flight_Muscle_2024,B5B_Lw_M1,Lw,8.002,7.914,8.09,,
F7,Flight_Muscle_2024,B5B_Lw_M2,Lw,8.801,8.738,8.863,,
F7,Flight_Muscle_2024,B5B_Lw_M3,Lw,7.552,7.489,7.614,,
F7,Flight_Muscle_2024,B5B_Lw_M4,Lw,8.455,8.868,8.042,,
F7,Flight_Muscle_2024,B6_Lw_M1,Lw,8.914,8.783,9.044,,
F7,Flight_Muscle_2024,B6_Lw_M2,Lw,8.689,8.773,8.605,,
F7,Flight_Muscle_2024,B6_Lw_M3,Lw,7.802,7.763,7.841,,
F7,Flight_Muscle_2024,3A_Sw_M3,Sw,5.767,5.59,5.944,,
F7,Flight_Muscle_2024,3A_Sw_M5,Sw,4.735,4.807,4.662,,
F7,Flight_Muscle_2024,3A_Sw_M7,Sw,5.628,5.508,5.748,,
F7,Flight_Muscle_2024,3A_Sw_M8,Sw,5.83,6.119,5.541,,
F7,Flight_Muscle_2024,3B_Sw_M1,Sw,4.646,4.715,4.577,,
F7,Flight_Muscle_2024,3B_Sw_M2,Sw,3.769,3.754,3.784,,
F7,Flight_Muscle_2024,3B_Sw_M4,Sw,5.069,5.108,5.03,,
F7,Flight_Muscle_2024,3B_Sw_M5,Sw,5.25,5.45,5.049,,
F7,Flight_Muscle_2024,3B_Sw_M6,Sw,4.81,4.966,4.654,,
F7,Flight_Muscle_2024,3B_Sw_MX1,Sw,5.178,4.745,5.611,,
F7,Flight_Muscle_2024,4A_Sw_M1,Sw,3.965,4.034,3.895,,
F7,Flight_Muscle_2024,4A_Sw_M2,Sw,4.283,4.406,4.16,,
F7,Flight_Muscle_2024,4A_Sw_M3,Sw,4.557,4.551,4.562,,
F7,Flight_Muscle_2024,4A_Sw_M4,Sw,4.96,5.258,4.662,,
F7,Flight_Muscle_2024,4B_Sw_M3,Sw,5.091,4.825,5.357,,
F7,Flight_Muscle_2024,5A_Sw_M1,Sw,5.101,5.034,5.168,,
F7,Flight_Muscle_2024,5A_Sw_M2,Sw,5.082,4.979,5.185,,
F7,Flight_Muscle_2024,5A_Sw_M3,Sw,4.919,4.869,4.969,,
F7,Flight_Muscle_2024,5A_Sw_M4,Sw,5.766,5.522,6.009,,
F7,Flight_Muscle_2024,5A_Sw_M5,Sw,4.914,4.87,4.958,,
F7,Flight_Muscle_2024,5A_Sw_M7,Sw,3.939,4.445,3.432,,
F7,Flight_Muscle_2024,5A_Sw_M10,Sw,5.351,5.471,5.23,,
F7,Flight_Muscle_2024,5A_Sw_M11,Sw,5.44,5.367,5.513,,
F7,Flight_Muscle_2024,5A_Sw_M12,Sw,5.263,5.719,4.807,,
F7,Flight_Muscle_2024,5B_Sw_M3,Sw,5.214,5.221,5.206,,
F7,Flight_Muscle_2024,5B_Sw_M4,Sw,5.43,4.955,5.904,,
F7,Flight_Muscle_2024,5B_Sw_M6,Sw,4.287,4.174,4.4,,
F7,Flight_Muscle_2024,5B_Sw_M7,Sw,5.215,5.258,5.172,,
F7,Flight_Muscle_2024,5B_Sw_M8,Sw,4.507,4.514,4.499,,
F7,Flight_Muscle_2024,5B_Sw_M9,Sw,4.855,4.665,5.044,,
F7,Flight_Muscle_2024,B2_Sw_M2,Sw,4.208,4.294,4.121,,
F7,Flight_Muscle_2024,B2_Sw_M3,Sw,4.658,4.555,4.761,,
F7,Flight_Muscle_2024,B2_Sw_M7,Sw,3.695,3.497,3.892,,
F7,Flight_Muscle_2024,B6_Sw_M1,Sw,5.487,5.366,5.607,,
F7,Flight_Muscle_2024,B6_Sw_M3,Sw,5.802,6.074,5.53,,
F8,LDV_2024,Lw1,Lw,8.732,8.696,8.767,,
F8,LDV_2024,Lw3,Lw,8.3,8.204,8.395,,
F8,LDV_2024,Lw4,Lw,8.577,8.752,8.402,,
F8,LDV_2024,Lw5,Lw,8.269,8.344,8.194,,
F8,LDV_2024,Lw6,Lw,8.765,8.705,8.825,,
F8,LDV_2024,Lw7,Lw,8.558,8.417,8.698,,
F8,LDV_2024,Lw8,Lw,8.264,7.966,8.562,,
F8,LDV_2024,Lw10,Lw,9.387,9.01,9.764,,
F8,LDV_2024,Lw11,Lw,9.035,9.172,8.898,,
F8,LDV_2024,Lw12,Lw,7.97,7.748,8.192,,
F8,LDV_2024,Sw3,Sw,5.617,5.229,6.005,,
F8,LDV_2024,Sw4,Sw,5.352,5.286,5.417,,
F8,LDV_2024,Sw5,Sw,4.96,4.778,5.141,,
F8,LDV_2024,Sw7,Sw,5.395,5.342,5.447,,
F8,LDV_2024,Sw8,Sw,5.237,5.03,5.444,,
F8,LDV_2024,Sw9,Sw,5.2,5.279,5.121,,
F8,LDV_2024,Sw10,Sw,3.773,3.783,3.762,,
F8,LDV_2024,Sw11,Sw,5.054,5.141,4.966,,
