gene_id(stringtie),baseMean,log2FoldChange,lfcSE,pvalue,padj,Expression,Gene_Name,Gene_id(Genome)
MSTRG.3280,5286.354562,-0.081323294,0.037102404,0.024189478,0.060673701,Unchanged,,
TOC.1T.01981,158.1946655,-0.081294445,0.101966161,0.326140665,0.471131141,Unchanged,,
TOC.8T.00974,7.952751963,-0.081293117,0.197659802,0.458776568,0.601176991,Unchanged,,
MSTRG.8211,1859.275206,-0.081292524,0.090769572,0.29018339,0.432428681,Unchanged,,
MSTRG.476,4309.606907,-0.081275223,0.042490515,0.047216291,0.104392674,Unchanged,,
TOC.10T.00371,31.47052982,-0.081250967,0.193617467,0.455668707,0.59918553,Unchanged,,
MSTRG.10282,1289.826454,-0.081235053,0.048635716,0.079663872,0.158578151,Unchanged,,
TOC.9T.00985,14.20462821,-0.081215357,0.226689465,0.481806352,0.62195765,Unchanged,,
TOC.7T.01249,1.686469723,-0.081203877,0.425000857,0.550889382,0.68284631,Unchanged,,
MSTRG.3256,22.25463951,-0.081192931,0.156940359,0.422214458,0.56735178,Unchanged,,
MSTRG.8369,2553.667123,-0.081190818,0.051093272,0.093783613,0.180473122,Unchanged,,
TOC.10T.00329,2.532330369,-0.081046018,0.472208475,0.544029357,0.677212958,Unchanged,,
MSTRG.10672,530.4499203,-0.080994187,0.145301403,0.410018685,0.555524514,Unchanged,,
MSTRG.5073,1427.311677,-0.08094294,0.083380307,0.263734058,0.403589766,Unchanged,,
MSTRG.8813,1350.774768,-0.08092786,0.093631273,0.302340828,0.445068287,Unchanged,,
MSTRG.6651,5356.30676,-0.080901006,0.069513597,0.199164289,0.326884793,Unchanged,,
MSTRG.6139,9892.001362,-0.080867136,0.035036057,0.017959668,0.047461464,Unchanged,,
MSTRG.1995,135.3694264,-0.080818932,0.115526546,0.362651502,0.508997188,Unchanged,,
TOC.8T.00232,8.10594397,-0.080785997,0.231275546,0.487382745,0.627243461,Unchanged,,
MSTRG.1546,12614.69471,-0.080757424,0.032083948,0.010161171,0.029588352,Unchanged,,
MSTRG.4210,1.376957865,-0.080701608,0.320072593,0.538365728,0.672194158,Unchanged,,
TOC.5T.01154,124.8009109,-0.080682389,0.201493286,0.465107471,0.606537263,Unchanged,,
TOC.1T.01415,17.40494248,-0.080647194,0.1775345,0.445095535,0.590038653,Unchanged,,
TOC.53T.00009,1.032847872,-0.080642691,0.400164756,0.554219578,0.685758225,Unchanged,,
MSTRG.1007,16967.81212,-0.080578436,0.06432031,0.172968338,0.293445704,Unchanged,,
MSTRG.6997,64837.49987,-0.080575275,0.195469468,0.460781575,0.602980533,Unchanged,,
TOC.7T.00575,3.040244452,-0.080533446,0.293174906,0.527268351,0.663115597,Unchanged,,
TOC.11T.00176,5.120144395,-0.080488876,0.240233595,0.495303659,0.634490657,Unchanged,,
MSTRG.11277,50.42414567,-0.080485468,0.128421991,0.388894799,0.535015897,Unchanged,,
MSTRG.7903,5569.186589,-0.080483354,0.134843226,0.398881871,0.54473989,Unchanged,,
MSTRG.10718,674.4429113,-0.080456561,0.085989438,0.277169586,0.418199381,Unchanged,,
MSTRG.11267,3639.732418,-0.08042988,0.064204429,0.173118464,0.293638428,Unchanged,,
TOC.10T.00432,342.5443243,-0.080405392,0.135186273,0.399830178,0.545617859,Unchanged,,
MSTRG.4923,11141.853,-0.080391577,0.078465796,0.245695866,0.383375208,Unchanged,,
TOC.3T.00447,2.677988062,-0.080369217,0.301074735,0.531897928,0.667071365,Unchanged,,
TOC.4T.00018,2.76588313,-0.080321306,0.275651741,0.518853568,0.655106618,Unchanged,,
MSTRG.9418,179276.8177,-0.080308713,0.028945173,0.004770271,0.015770603,Unchanged,,
MSTRG.1252,4682.839459,-0.080296286,0.035670956,0.020887738,0.053750487,Unchanged,,
TOC.1T.01848,0.976716307,-0.080230146,0.509234085,0.537112901,0.671098945,Unchanged,,
TOC.3T.00908,1.115060434,-0.080219885,0.479076397,0.545999662,0.678878862,Unchanged,,
MSTRG.1903,3984.680132,-0.080181233,0.036820625,0.025190934,0.062686866,Unchanged,,
MSTRG.255,29.48839061,-0.080157419,0.158233162,0.429318663,0.574115068,Unchanged,,
MSTRG.8648,84.59252195,-0.080120074,0.184167823,0.453743742,0.597143609,Unchanged,,
MSTRG.7058,10953.94049,-0.080119421,0.076806783,0.239669386,0.376492857,Unchanged,,
MSTRG.6833,4855.676138,-0.080111086,0.062864191,0.167284038,0.286035601,Unchanged,,
MSTRG.9668,1378.400517,-0.080049629,0.051403513,0.100331182,0.190541548,Unchanged,,
MSTRG.4100,2851.237683,-0.079842995,0.062876571,0.168783896,0.287851093,Unchanged,,
TOC.2T.01161,23.48776082,-0.079837389,0.176631482,0.448689732,0.592969596,Unchanged,,
TOC.10T.00064,14.8724325,-0.079830739,0.220551717,0.484397251,0.624449888,Unchanged,,
MSTRG.9221,62177.82475,-0.079820852,0.06716142,0.192709629,0.318731141,Unchanged,,
MSTRG.3993,519.3724247,-0.079696374,0.093723179,0.310067264,0.45378313,Unchanged,,
MSTRG.5848,568.9622589,-0.079672255,0.058976305,0.14708103,0.258614261,Unchanged,,
TOC.3T.01358,1.019944224,-0.079650298,0.510229292,0.539341077,0.673150586,Unchanged,,
MSTRG.10557,2805.218225,-0.079589084,0.026317648,0.002162136,0.008105113,Unchanged,,
MSTRG.9274,1444.039247,-0.079572765,0.1721615,0.446098906,0.590756792,Unchanged,,
MSTRG.3896,153.4251457,-0.079442589,0.362119146,0.556041446,0.687694952,Unchanged,,
MSTRG.3478,704.4682404,-0.079409498,0.07066204,0.213586544,0.344887461,Unchanged,,
TOC.5T.01116,176.325375,-0.079390021,0.130648941,0.398858212,0.54473989,Unchanged,,
MSTRG.3452,9158.324004,-0.079342095,0.065377673,0.185589958,0.309888394,Unchanged,,
MSTRG.8515,4910.664667,-0.079303657,0.137930589,0.410061259,0.555524514,Unchanged,,
TOC.2T.00124,1.516741007,-0.079294511,0.311850533,0.54184135,0.675118197,Unchanged,,
MSTRG.3446,580.8183328,-0.079234894,0.111285944,0.362589778,0.508988228,Unchanged,,
TOC.346T.00002,1.544515876,-0.079228793,0.313899394,0.542995788,0.67624216,Unchanged,,
MSTRG.8187,1644.018776,-0.079208127,0.113003064,0.36668703,0.513050962,Unchanged,,
MSTRG.2383,945.9760944,-0.079161177,0.059129791,0.150608896,0.263377183,Unchanged,,
MSTRG.8842,202.0485857,-0.079113709,0.355675556,0.556323949,0.687938505,Unchanged,,
MSTRG.8920,49.22591102,-0.079086932,0.113729035,0.369036241,0.515406196,Unchanged,,
TOC.9T.00414,69.09548899,-0.079060124,0.153518814,0.43046036,0.575306871,Unchanged,,
TOC.65T.00002,1.69284871,-0.07904692,0.399691392,0.561444623,0.69219436,Unchanged,,
TOC.2T.00466,4.24774981,-0.079045947,0.34994429,0.555372752,0.687026476,Unchanged,,
TOC.8T.00759,1.012482582,-0.078966687,0.357198616,0.557321909,0.688748782,Unchanged,,
MSTRG.687,8449.559404,-0.078940003,0.107348479,0.35478583,0.500980107,Unchanged,,
MSTRG.1545,21.4518578,-0.078924795,0.164385897,0.442364339,0.587310805,Unchanged,,
MSTRG.8266,67.11648221,-0.078892528,0.245633443,0.507204925,0.645008367,Unchanged,,
MSTRG.5115,3302.715555,-0.078876281,0.093028825,0.312704306,0.456644853,Unchanged,,
MSTRG.10355,1646.228521,-0.078858444,0.078331001,0.254221493,0.39332332,Unchanged,,
TOC.12T.01231,10.75779885,-0.078847482,0.197513284,0.471678521,0.612871031,Unchanged,,
MSTRG.5063,2017.376911,-0.078810254,0.099220712,0.333056463,0.478584486,Unchanged,,
MSTRG.5017,4057.225604,-0.07879874,0.086172266,0.28792404,0.429947312,Unchanged,,
MSTRG.5923,967.0711483,-0.078791924,0.103468995,0.345424058,0.491393382,Unchanged,,
MSTRG.10586,811.1739146,-0.078787387,0.056887998,0.139109434,0.24763081,Unchanged,,
TOC.9T.01101,1.505236513,-0.078742511,0.312787871,0.544895565,0.677977936,Unchanged,,
MSTRG.4674,159.509386,-0.078717982,0.09556729,0.32216641,0.466871952,Unchanged,,
MSTRG.2874,4564.202033,-0.078716524,0.068334248,0.205312981,0.334551415,Unchanged,,
MSTRG.9433,351.4450681,-0.078662085,0.164485605,0.44392814,0.588978553,Unchanged,,
MSTRG.434,4871.898773,-0.07865604,0.039746939,0.041008401,0.093047286,Unchanged,,
MSTRG.8774,8468.821157,-0.078651685,0.087617529,0.294442855,0.437083577,Unchanged,,
TOC.52T.00006,0.978770819,-0.078587835,0.391485407,0.563289247,0.693602135,Unchanged,,
TOC.4T.00591,3.958406921,-0.078586282,0.244738912,0.508175767,0.645942755,Unchanged,,
MSTRG.3511,2950.482323,-0.078584299,0.06907521,0.210044228,0.340466891,Unchanged,,
MSTRG.11566,179.1187285,-0.078555085,0.14610325,0.424868567,0.569965525,Unchanged,,
MSTRG.3938,1562.277719,-0.078313461,0.308246913,0.545089644,0.678166935,Unchanged,,
TOC.12T.01056,2.41271512,-0.078267859,0.275374579,0.528943009,0.664298211,Unchanged,,
MSTRG.7870,7036.65553,-0.078200181,0.046250872,0.07741843,0.155049019,Unchanged,,
MSTRG.3843,9725.802031,-0.078101489,0.072259718,0.229474887,0.363927523,Unchanged,,
TOC.1T.02042,5.608406102,-0.078057887,0.292513976,0.539099624,0.672901464,Unchanged,,
MSTRG.5426,2467.751949,-0.078056188,0.288964344,0.53732478,0.671259348,Unchanged,,
TOC.1T.01373,236.9663033,-0.078052251,0.10735933,0.360226376,0.506534868,Unchanged,,
MSTRG.4954,2657.73307,-0.078047124,0.052504519,0.115925446,0.213586709,Unchanged,,
MSTRG.2209,2821.097031,-0.077944045,0.073870737,0.238509874,0.375111196,Unchanged,,
MSTRG.6496,22.43620407,-0.077942544,0.144860558,0.426898473,0.571829846,Unchanged,,
MSTRG.10491,939.3497478,-0.077936145,0.062443571,0.17669693,0.298260707,Unchanged,,
MSTRG.3333,3666.194599,-0.077855065,0.06705082,0.20331853,0.332143398,Unchanged,,
MSTRG.690,2125.456255,-0.077828124,0.043221354,0.061442672,0.129134023,Unchanged,,
MSTRG.9531,203.0197561,-0.077762089,0.084761942,0.288676765,0.430911245,Unchanged,,
MSTRG.8733,2259.242742,-0.077754069,0.079389868,0.265756048,0.405969192,Unchanged,,
