gene_id(stringtie),baseMean,log2FoldChange,lfcSE,pvalue,padj,Expression,Gene_Name,Gene_id(Genome)
MSTRG.8118,24902.84704,1.306293593,0.334962802,5.49E-06,5.53E-05,Up-regulated,,TOC.5T.01132
MSTRG.5201,6492.932491,1.306624964,0.808691856,0.001407241,0.005656404,Up-regulated,,TOC.2T.02319
MSTRG.7519,17483.69649,1.307583329,0.286766613,4.04E-07,6.14E-06,Up-regulated,,TOC.5T.00142
TOC.7T.00822,2.164217929,1.318778315,1.387178978,0.003459499,0.012047181,Up-regulated,,TOC.7T.00822
MSTRG.1660,1290.397558,1.324464079,0.44685599,8.60E-05,5.37E-04,Up-regulated,,TOC.10T.00734
MSTRG.273,2762.95887,1.331955517,0.401994947,3.36E-05,2.43E-04,Up-regulated,,TOC.1T.00540
MSTRG.3346,3678.874579,1.346667446,0.296389106,4.06E-07,6.16E-06,Up-regulated,,TOC.13T.00464
MSTRG.790,20.81684892,1.348592451,0.679941049,6.82E-04,0.003092682,Up-regulated,,TOC.1T.01559
MSTRG.1592,26.10872715,1.352380624,0.421345706,4.34E-05,3.02E-04,Up-regulated,,TOC.10T.00616
MSTRG.1977,2613.400603,1.356300221,0.291881547,2.52E-07,4.08E-06,Up-regulated,,TOC.11T.00142
TOC.3T.00373,3.189892219,1.362038082,1.213174762,0.002660897,0.009632549,Up-regulated,,TOC.3T.00373
MSTRG.4383,107191.4643,1.366675785,0.294211361,2.49E-07,4.04E-06,Up-regulated,,TOC.2T.00823
TOC.1T.00270,1.169065501,1.369183032,1.369252559,0.00302992,0.010790118,Up-regulated,,TOC.1T.00270
MSTRG.6531,472.0342754,1.375061115,0.3938729,1.87E-05,1.51E-04,Up-regulated,,TOC.3T.02155
TOC.1T.01781,13.63424737,1.375770166,0.436521465,4.88E-05,3.33E-04,Up-regulated,,TOC.1T.01781
TOC.5T.00882,1.19013283,1.38441855,1.377895562,0.0029404,0.010517408,Up-regulated,,TOC.5T.00882
MSTRG.8402,31.06540296,1.390792688,0.298518835,2.23E-07,3.69E-06,Up-regulated,,TOC.5T.01564
MSTRG.8264,27.86885689,1.393694645,0.566336965,2.44E-04,0.001290474,Up-regulated,,TOC.5T.01341
MSTRG.6319,681.4683911,1.393721042,0.343844262,2.72E-06,3.08E-05,Up-regulated,,TOC.3T.01654
MSTRG.11139,1973.833173,1.401390228,0.307885713,3.52E-07,5.47E-06,Up-regulated,,TOC.9T.00557
TOC.1T.00781,41.00242124,1.402651455,0.327350883,1.08E-06,1.44E-05,Up-regulated,,TOC.1T.00781
MSTRG.8990,58.77892119,1.404488529,0.503727672,1.15E-04,6.88E-04,Up-regulated,,TOC.6T.00801
MSTRG.5051,29119.97367,1.406911717,0.369021859,6.27E-06,6.19E-05,Up-regulated,,TOC.2T.02066
TOC.12T.01021,3.942754356,1.408021893,1.341037151,0.002694474,0.009736685,Up-regulated,,TOC.12T.01021
MSTRG.7361,423.1992445,1.414191357,0.420446398,2.54E-05,1.93E-04,Up-regulated,,TOC.4T.01330
TOC.9T.00125,14.91197392,1.420700711,0.696168605,5.40E-04,0.002538703,Up-regulated,,TOC.9T.00125
MSTRG.8948,690.9117876,1.420869187,0.375168904,6.66E-06,6.50E-05,Up-regulated,,TOC.6T.00716
MSTRG.9109,172.6227226,1.435240555,0.313479357,2.90E-07,4.63E-06,Up-regulated,,TOC.6T.00985
MSTRG.833,25.05747399,1.44120528,1.007689207,0.001502169,0.005979668,Up-regulated,,TOC.1T.01622
MSTRG.7246,728.1939812,1.441215905,0.599948205,2.54E-04,0.001337684,Up-regulated,,TOC.4T.01168
MSTRG.495,78260.24752,1.446367028,1.191744971,0.002057255,0.007769918,Up-regulated,,TOC.1T.00958
MSTRG.1864,191.0922432,1.447955376,0.304159064,1.23E-07,2.23E-06,Up-regulated,,TOC.10T.01156
MSTRG.4364,10.95318591,1.448343306,1.2245805,0.00214003,0.008040993,Up-regulated,,TOC.2T.00783
MSTRG.4727,17.70104938,1.452997153,0.234775393,4.74E-11,2.34E-09,Up-regulated,,TOC.2T.01405
TOC.1T.01783,50.0238334,1.456577075,0.266222819,3.20E-09,9.55E-08,Up-regulated,,TOC.1T.01783
MSTRG.2351,5436.622925,1.462779363,1.189461635,0.001960457,0.007467479,Up-regulated,,TOC.11T.00800
MSTRG.9283,1441.03713,1.466501919,0.645860766,3.19E-04,0.001626889,Up-regulated,,TOC.6T.01257
MSTRG.7394,2455.974154,1.469588211,0.528430232,1.05E-04,6.35E-04,Up-regulated,,TOC.4T.01379
MSTRG.369,8702.839719,1.470131186,0.148211075,2.98E-24,1.60E-21,Up-regulated,,TOC.1T.00737
TOC.1T.01494,18.94528769,1.477991297,0.275866843,5.62E-09,1.59E-07,Up-regulated,,TOC.1T.01494
MSTRG.3988,169.8129819,1.48031201,1.052519353,0.001464792,0.005852618,Up-regulated,,TOC.2T.00140
MSTRG.1703,225.6486512,1.483124804,0.192887544,1.16E-15,1.63E-13,Up-regulated,,TOC.10T.00819
MSTRG.4881,330.2525217,1.486762749,0.382450072,4.12E-06,4.34E-05,Up-regulated,,TOC.2T.01750
MSTRG.3596,302.026686,1.504397573,0.463726182,3.02E-05,2.22E-04,Up-regulated,,TOC.14T.00138
MSTRG.497,11.73323052,1.515154128,0.491087373,4.54E-05,3.14E-04,Up-regulated,,TOC.1T.00964
MSTRG.9463,278.5285221,1.521682851,0.497214463,4.79E-05,3.28E-04,Up-regulated,,TOC.7T.00034
TOC.3T.01233,5.263585001,1.530169097,1.039123465,0.001220776,0.005030146,Up-regulated,,TOC.3T.01233
MSTRG.9243,916.0450467,1.53337238,0.471806529,2.81E-05,2.10E-04,Up-regulated,,TOC.6T.01194
MSTRG.10782,2611.72892,1.535583629,0.602325361,1.58E-04,8.94E-04,Up-regulated,,TOC.8T.00989
MSTRG.7409,75.00414399,1.544069068,0.633751776,1.98E-04,0.001081592,Up-regulated,,TOC.429T.00001
MSTRG.820,55696.12857,1.547498717,0.273061379,8.28E-10,2.98E-08,Up-regulated,,TOC.1T.01607
MSTRG.7949,518.3443674,1.547882453,0.613415637,1.63E-04,9.21E-04,Up-regulated,,TOC.5T.00823
MSTRG.7040,46.37529722,1.550639063,1.501390258,0.002210533,0.008263416,Up-regulated,,TOC.4T.00816
MSTRG.368,8511.634719,1.550852075,0.067874807,1.08E-116,8.65E-113,Up-regulated,,TOC.1T.00736
MSTRG.10015,366.2076325,1.564878152,0.557958133,8.36E-05,5.24E-04,Up-regulated,,TOC.7T.00989
TOC.12T.00148,13.58535491,1.571808803,0.585053223,1.09E-04,6.53E-04,Up-regulated,,TOC.12T.00148
TOC.2T.01320,213.5163507,1.577079626,0.393349241,2.16E-06,2.55E-05,Up-regulated,,TOC.2T.01320
MSTRG.186,50.57055601,1.581003282,0.767966522,3.99E-04,0.001963088,Up-regulated,,TOC.1T.00369
TOC.1T.00457,5.036999746,1.584794928,0.826574988,5.17E-04,0.002449877,Up-regulated,,TOC.1T.00457
TOC.8T.00797,18.67148863,1.590410489,0.65356031,1.84E-04,0.001020981,Up-regulated,,TOC.8T.00797
MSTRG.9794,161.4380288,1.596950548,0.507181113,3.29E-05,2.38E-04,Up-regulated,,TOC.7T.00607
MSTRG.7363,6211.615826,1.597492939,0.298377694,4.08E-09,1.20E-07,Up-regulated,,TOC.4T.01332
MSTRG.10589,5949.441484,1.605865492,0.382461768,9.62E-07,1.31E-05,Up-regulated,,TOC.8T.00640
MSTRG.9921,103.7386753,1.606933578,0.195117091,9.55E-18,1.90E-15,Up-regulated,,TOC.7T.00844
MSTRG.8989,2236.232462,1.609697591,0.345533205,1.30E-07,2.34E-06,Up-regulated,,TOC.6T.00800
MSTRG.9795,72.74027431,1.613324951,0.571891927,7.37E-05,4.71E-04,Up-regulated,,TOC.7T.00608
MSTRG.4518,2273.229707,1.619496822,0.565010032,6.53E-05,4.26E-04,Up-regulated,,TOC.2T.01032
TOC.5T.00854,48.91858255,1.623095549,0.186734581,1.82E-19,4.71E-17,Up-regulated,,TOC.5T.00854
MSTRG.4317,4306.661222,1.631348022,0.370639313,3.86E-07,5.91E-06,Up-regulated,,TOC.2T.00684
MSTRG.8265,1933.309883,1.654947508,0.548231828,4.17E-05,0.000291174,Up-regulated,,TOC.5T.01342
MSTRG.3597,610.5502787,1.656985505,0.409322034,1.54E-06,1.94E-05,Up-regulated,,TOC.14T.00139
MSTRG.2371,565.2512004,1.660086815,0.500807021,1.82E-05,1.48E-04,Up-regulated,,TOC.11T.00859
TOC.12T.01195,4.61499912,1.668714324,1.058754797,8.41E-04,0.003690042,Up-regulated,,TOC.12T.01195
MSTRG.5652,194.2864919,1.672924785,0.361475114,1.25E-07,2.27E-06,Up-regulated,,TOC.3T.00522
MSTRG.10683,86.63919191,1.686655655,0.569985618,4.59E-05,3.16E-04,Up-regulated,,TOC.8T.00840
MSTRG.3294,500.4214737,1.697335331,0.337387502,1.65E-08,3.96E-07,Up-regulated,,TOC.13T.00388
MSTRG.8380,9695.778954,1.704670092,0.283875609,6.79E-11,3.18E-09,Up-regulated,,TOC.5T.01527
TOC.6T.00463,29.31645678,1.713707114,0.662904504,1.08E-04,6.48E-04,Up-regulated,,TOC.6T.00463
MSTRG.7293,31.65810833,1.718490255,0.425362141,1.36E-06,1.75E-05,Up-regulated,,TOC.4T.01234
TOC.7T.01234,71.73195034,1.723251596,0.286226746,5.80E-11,2.79E-09,Up-regulated,,TOC.7T.01234
MSTRG.1443,79.83274597,1.73012581,0.752774082,1.96E-04,0.001072451,Up-regulated,,TOC.10T.00379
MSTRG.9714,2807.875956,1.744707884,0.338131267,7.32E-09,1.98E-07,Up-regulated,,TOC.7T.00468
MSTRG.10106,2913.016516,1.76529803,0.764431399,1.82E-04,0.001008785,Up-regulated,,TOC.7T.01165
MSTRG.5088,37.97501282,1.774384027,0.697024787,1.07E-04,6.45E-04,Up-regulated,,TOC.2T.02133
MSTRG.9713,16392.84868,1.775087126,0.378842558,7.18E-08,1.41E-06,Up-regulated,,TOC.7T.00467
MSTRG.4521,141040.8015,1.776656905,0.948532031,4.26E-04,0.002076451,Up-regulated,,TOC.2T.01045
TOC.2T.01982,3.382412251,1.781222556,1.21468906,8.75E-04,0.003813034,Up-regulated,Cu,TOC.2T.01982
MSTRG.4726,75.1150478,1.795674435,0.184244263,5.11E-24,2.65E-21,Up-regulated,,TOC.2T.01404
MSTRG.1558,1073.324462,1.795932182,0.459309484,1.87E-06,2.27E-05,Up-regulated,,TOC.10T.00569
TOC.4T.00590,13.66960878,1.797494968,0.283024556,5.61E-12,3.51E-10,Up-regulated,,TOC.4T.00590
MSTRG.5562,7366.020318,1.802721319,0.350442745,6.67E-09,1.85E-07,Up-regulated,,TOC.3T.00323
MSTRG.6485,3778.224301,1.804896959,0.426814929,5.12E-07,7.59E-06,Up-regulated,,TOC.3T.02045
MSTRG.11253,4623.604824,1.806903741,0.687103735,8.40E-05,5.25E-04,Up-regulated,,TOC.9T.00784
MSTRG.707,56.34218645,1.810648518,0.637415098,5.01E-05,3.40E-04,Up-regulated,,TOC.1T.01410
TOC.1T.00915,18.32656995,1.815748886,0.375448607,3.09E-08,6.75E-07,Up-regulated,,TOC.1T.00915
MSTRG.6754,1678.114456,1.816589996,0.977220509,4.15E-04,0.002033495,Up-regulated,,TOC.4T.00206
MSTRG.8326,586.6452132,1.821860628,0.277259472,1.21E-12,8.88E-11,Up-regulated,,TOC.5T.01452
TOC.8T.01137,4.626130029,1.853333896,1.717045964,0.001408399,0.005659643,Up-regulated,,TOC.8T.01137
MSTRG.10123,8418.232236,1.85421226,0.395688155,5.76E-08,1.17E-06,Up-regulated,,TOC.7T.01185
MSTRG.1060,12181.5804,1.862337487,0.388541578,3.35E-08,7.25E-07,Up-regulated,,TOC.1T.02108
MSTRG.10349,6916.151334,1.869254283,0.48407035,1.90E-06,2.31E-05,Up-regulated,,TOC.8T.00221
MSTRG.8325,84.07624534,1.882942406,0.611231709,2.36E-05,1.82E-04,Up-regulated,,TOC.5T.01451
MSTRG.4416,1950.632968,1.889191906,0.585057288,1.52E-05,1.28E-04,Up-regulated,,TOC.2T.00886
MSTRG.6594,2282.037919,1.904416363,0.490809966,1.64E-06,2.05E-05,Up-regulated,,TOC.30T.00021
MSTRG.799,1130.792954,1.9060265,0.342422657,4.81E-10,1.82E-08,Up-regulated,,TOC.1T.01574
MSTRG.2435,6769.97341,1.908964963,0.341928588,4.33E-10,1.67E-08,Up-regulated,,TOC.11T.00954
MSTRG.7410,331.7603964,1.911040496,0.52344725,3.75E-06,3.99E-05,Up-regulated,,TOC.429T.00002
TOC.4T.00619,34.74197921,1.913626475,0.635203264,2.71E-05,2.03E-04,Up-regulated,,TOC.4T.00619
MSTRG.1442,15167.10857,1.917685723,0.516330468,2.96E-06,3.30E-05,Up-regulated,,TOC.10T.00378
MSTRG.10806,429.1282069,1.919043707,0.948242857,2.66E-04,0.001390793,Up-regulated,,TOC.8T.01039
MSTRG.6777,9277.408395,1.920664418,0.449958144,3.26E-07,5.14E-06,Up-regulated,,TOC.4T.00242
MSTRG.8334,539.5992893,1.931180736,0.367831833,2.61E-09,8.00E-08,Up-regulated,,TOC.5T.01461
MSTRG.1865,490.935831,1.939640832,0.366296278,2.00E-09,6.38E-08,Up-regulated,,TOC.10T.01158
MSTRG.5870,4276.354502,1.945993075,0.466056363,4.59E-07,6.87E-06,Up-regulated,,TOC.3T.00919
MSTRG.98,312.7122995,1.951266918,0.761557296,8.00E-05,5.05E-04,Up-regulated,,TOC.1T.00182
TOC.10T.00911,7.759483286,1.952630259,1.298956841,6.75E-04,0.003069746,Up-regulated,,TOC.10T.00911
MSTRG.6899,60.76930506,1.969873291,0.481883387,6.28E-07,9.01E-06,Up-regulated,,TOC.4T.00477
MSTRG.6787,792.4410051,1.970638251,1.013736668,2.93E-04,0.001516778,Up-regulated,,TOC.4T.00256
MSTRG.6561,18745.31064,1.971872032,0.409773172,2.30E-08,5.25E-07,Up-regulated,,TOC.3T.02230
MSTRG.1059,4290.367906,1.978753571,0.563998157,5.40E-06,5.45E-05,Up-regulated,,TOC.1T.02107
MSTRG.759,40.1499145,1.990727261,0.237079322,6.20E-19,1.45E-16,Up-regulated,,TOC.1T.01507
MSTRG.10819,116.1740996,1.99341917,0.250985772,2.69E-17,4.92E-15,Up-regulated,,TOC.8T.01060
MSTRG.4118,1199.324781,2.004116625,0.55132572,3.34E-06,3.63E-05,Up-regulated,,TOC.2T.00410
MSTRG.4415,9.427517753,2.004199727,0.561601188,4.21E-06,4.41E-05,Up-regulated,,TOC.2T.00884
MSTRG.4912,14078.92024,2.023796876,0.356258747,1.79E-10,7.61E-09,Up-regulated,,TOC.2T.01834
MSTRG.6560,80.03747843,2.025885135,1.354874066,6.34E-04,0.002911426,Up-regulated,,TOC.3T.02232
MSTRG.3408,324.2669116,2.031243062,0.427759457,2.74E-08,6.12E-07,Up-regulated,,TOC.13T.00591
TOC.8T.00224,28.42220792,2.040798808,0.852074895,1.05E-04,6.36E-04,Up-regulated,,TOC.8T.00224
MSTRG.6537,6288.884107,2.040804932,0.431271258,2.91E-08,6.43E-07,Up-regulated,,TOC.3T.02161
MSTRG.6407,11729.56781,2.063615973,0.368832734,2.69E-10,1.09E-08,Up-regulated,,TOC.3T.01845
MSTRG.3176,184.4951032,2.068749047,1.422389809,6.50E-04,0.002970827,Up-regulated,,TOC.13T.00148
TOC.5T.01752,12.5934753,2.069749302,0.566948959,2.83E-06,3.17E-05,Up-regulated,,TOC.5T.01752
MSTRG.3409,489.5348929,2.084837666,0.445705066,3.46E-08,7.43E-07,Up-regulated,,TOC.13T.00592
MSTRG.2204,462.3188307,2.100345733,0.841394802,7.80E-05,4.94E-04,Up-regulated,,TOC.11T.00563
MSTRG.310,970.5384185,2.105646062,0.489387581,1.92E-07,3.23E-06,Up-regulated,,TOC.1T.00609
MSTRG.10005,78.13863529,2.119424937,0.717905941,2.40E-05,1.84E-04,Up-regulated,,TOC.7T.00980
MSTRG.1748,1971.831111,2.141068344,0.387751535,3.47E-10,1.37E-08,Up-regulated,,TOC.10T.00945
MSTRG.6538,96.78680703,2.15541357,0.428626697,5.11E-09,1.46E-07,Up-regulated,,TOC.3T.02167
MSTRG.1370,617.8579843,2.175820571,1.07708915,2.04E-04,0.001107672,Up-regulated,,TOC.10T.00222
MSTRG.4414,101.1452671,2.177538313,0.444721415,9.77E-09,2.55E-07,Up-regulated,,TOC.2T.00883
MSTRG.7860,11815.73382,2.189710787,0.545423629,5.76E-07,8.40E-06,Up-regulated,,TOC.5T.00698
MSTRG.7076,81.38649961,2.189855587,0.362117875,1.35E-11,7.72E-10,Up-regulated,,TOC.4T.00873
MSTRG.1727,38.76091848,2.192091441,0.805684402,4.09E-05,2.87E-04,Up-regulated,,TOC.10T.00888
TOC.13T.00411,38.88638851,2.206412591,0.521443527,2.23E-07,3.69E-06,Up-regulated,,TOC.13T.00411
TOC.8T.01023,3.745511393,2.228049267,0.794893703,3.19E-05,2.33E-04,Up-regulated,,TOC.8T.01023
MSTRG.6776,12478.99329,2.264940326,0.683283076,6.91E-06,6.68E-05,Up-regulated,,TOC.4T.00240
MSTRG.8964,310.1508988,2.269534093,0.617426389,1.97E-06,2.37E-05,Up-regulated,,TOC.6T.00748
MSTRG.5685,81.10883712,2.270446469,0.385273848,3.09E-11,1.61E-09,Up-regulated,,TOC.3T.00589
MSTRG.4024,52969.34153,2.279125789,0.451150286,3.74E-09,1.11E-07,Up-regulated,,TOC.2T.00214
MSTRG.4309,5153.848639,2.279181494,0.870217891,4.86E-05,3.32E-04,Up-regulated,,TOC.2T.00673
MSTRG.11054,15.15246386,2.307554415,0.929449258,6.58E-05,4.29E-04,Up-regulated,,TOC.9T.00362
MSTRG.3996,59.02236628,2.311680536,0.731668074,1.07E-05,9.59E-05,Up-regulated,,TOC.2T.00156
TOC.2T.00137,38.88853385,2.312043933,0.200491547,5.86E-33,6.73E-30,Up-regulated,,TOC.2T.00137
MSTRG.3220,16330.28602,2.315988198,0.407738844,1.05E-10,4.71E-09,Up-regulated,,TOC.13T.00248
MSTRG.804,14.23617526,2.330859044,1.194675675,2.05E-04,0.001110623,Up-regulated,,TOC.1T.01583
MSTRG.4477,5032.119971,2.354068924,0.428787044,3.06E-10,1.22E-08,Up-regulated,,TOC.2T.00974
TOC.5T.01750,6.059805773,2.354548303,0.905277485,4.76E-05,3.26E-04,Up-regulated,,TOC.5T.01750
TOC.1T.00768,3.939101723,2.364127173,0.820234534,2.28E-05,1.77E-04,Up-regulated,,TOC.1T.00768
MSTRG.1185,3289.609904,2.364518534,0.471178742,4.06E-09,1.20E-07,Up-regulated,,TOC.1T.02341
MSTRG.1003,913.8165324,2.379974056,0.842750397,2.64E-05,1.98E-04,Up-regulated,,TOC.1T.01932
MSTRG.3767,40.3952954,2.391213077,1.168744975,1.61E-04,9.09E-04,Up-regulated,,TOC.14T.00479
MSTRG.8976,682.0474953,2.397541039,1.110147765,1.26E-04,7.43E-04,Up-regulated,,TOC.6T.00781
TOC.11T.00160,23.84353634,2.399566013,0.395606296,9.32E-12,5.53E-10,Up-regulated,,TOC.11T.00160
TOC.10T.01117,15.36022069,2.405296696,0.845529825,2.45E-05,1.87E-04,Up-regulated,,TOC.10T.01117
MSTRG.4445,1353.103334,2.425513415,0.498282953,8.45E-09,2.24E-07,Up-regulated,,TOC.2T.00923
MSTRG.10147,2628.646495,2.429775,0.712419082,4.35E-06,4.53E-05,Up-regulated,,TOC.7T.01229
MSTRG.494,717.2164346,2.449370875,1.337413473,2.36E-04,0.00125174,Up-regulated,,TOC.1T.00957
MSTRG.7838,60.46744344,2.457788343,0.812722733,1.43E-05,1.21E-04,Up-regulated,,TOC.5T.00643
MSTRG.9615,3226.034114,2.496432275,0.44514989,1.42E-10,6.12E-09,Up-regulated,,TOC.7T.00304
MSTRG.8109,2292.411691,2.506516572,0.587731776,1.45E-07,2.56E-06,Up-regulated,,TOC.5T.01118
MSTRG.2294,2018.825964,2.507774385,0.56341624,6.19E-08,1.24E-06,Up-regulated,,TOC.11T.00710
MSTRG.8320,4628.885084,2.530993814,0.558602213,4.21E-08,8.81E-07,Up-regulated,,TOC.5T.01432
TOC.3T.00108,6.659040819,2.56516322,1.107985993,7.99E-05,5.04E-04,Up-regulated,,TOC.3T.00108
TOC.7T.01225,6.422261842,2.612518435,1.405791969,1.99E-04,0.001083804,Up-regulated,,TOC.7T.01225
MSTRG.1002,33.64979062,2.631936378,1.466751177,2.21E-04,0.001184697,Up-regulated,,TOC.1T.01931
MSTRG.10597,25.56390397,2.679328419,0.689477009,6.73E-07,9.59E-06,Up-regulated,,TOC.8T.00688
MSTRG.7957,1942.7332,2.706992831,0.76074163,2.28E-06,2.67E-05,Up-regulated,,TOC.5T.00852
MSTRG.4996,379.7976417,2.733494078,0.384910676,8.95E-15,1.02E-12,Up-regulated,Cu,TOC.2T.01983
MSTRG.10193,99.30550186,2.753747956,1.280120359,1.01E-04,6.17E-04,Up-regulated,Cu,TOC.7T.01317
MSTRG.8133,196.0774304,2.773645847,0.589508735,1.80E-08,4.27E-07,Up-regulated,,TOC.5T.01155
MSTRG.8520,3961.040046,2.786766274,0.514700447,4.47E-10,1.71E-08,Up-regulated,,TOC.5T.01749
TOC.9T.00567,18.35369883,2.799771077,1.181784208,6.18E-05,4.07E-04,Up-regulated,,TOC.9T.00567
TOC.1T.01706,4.270906793,2.801579241,0.814755681,3.36E-06,3.65E-05,Up-regulated,,TOC.1T.01706
MSTRG.8471,95429.4543,2.827418564,0.993853881,1.94E-05,1.56E-04,Up-regulated,,TOC.5T.01671
TOC.14T.00473,77.50504641,2.839207761,0.636623312,5.80E-08,1.18E-06,Up-regulated,,TOC.14T.00473
TOC.3T.00720,8.235623208,2.849650574,1.545168146,1.74E-04,9.72E-04,Up-regulated,,TOC.3T.00720
MSTRG.10146,28936.99415,2.882799401,1.14122981,4.15E-05,2.90E-04,Up-regulated,,TOC.7T.01228
MSTRG.3394,18.68770986,2.941218375,1.333987055,8.15E-05,5.13E-04,Up-regulated,,TOC.13T.00546
MSTRG.10456,128.3462017,2.945593557,1.854375658,2.54E-04,0.001336833,Up-regulated,,TOC.8T.00439
MSTRG.11393,3887.832916,2.950137686,0.473462874,4.03E-12,2.59E-10,Up-regulated,,TOC.9T.01077
MSTRG.10458,172.0032416,2.992326908,0.806801725,1.29E-06,1.68E-05,Up-regulated,,TOC.8T.00441
MSTRG.8521,9248.027731,2.993113928,1.236971079,5.02E-05,3.41E-04,Up-regulated,,TOC.5T.01753
MSTRG.11265,249.1906984,2.995622174,0.569634215,1.20E-09,4.13E-08,Up-regulated,,TOC.9T.00821
MSTRG.4500,11461.17606,3.022524602,0.840463968,1.92E-06,2.33E-05,Up-regulated,,TOC.2T.01008
MSTRG.10457,257.2003059,3.034931146,0.984171593,9.49E-06,8.62E-05,Up-regulated,,TOC.8T.00440
MSTRG.2248,81.29940705,3.061918285,0.676032263,4.61E-08,9.54E-07,Up-regulated,,TOC.11T.00643
MSTRG.2962,283.877294,3.070807805,0.951917402,6.26E-06,6.17E-05,Up-regulated,,TOC.12T.01030
MSTRG.4008,17.57684782,3.079475246,0.7314342,1.87E-07,3.16E-06,Up-regulated,,TOC.2T.00175
MSTRG.3805,668.1916167,3.152829282,2.179317375,2.70E-04,0.001409088,Up-regulated,,TOC.14T.00561
MSTRG.9514,8169.6313,3.177245852,0.723631764,9.03E-08,1.70E-06,Up-regulated,,TOC.7T.00102
MSTRG.6070,1364.934796,3.180671685,0.771318488,2.76E-07,4.43E-06,Up-regulated,,TOC.3T.01231
MSTRG.6071,2498.244784,3.23873111,0.77635154,2.32E-07,3.81E-06,Up-regulated,,TOC.3T.01232
MSTRG.4009,474.5767584,3.240978576,0.654144047,6.91E-09,1.91E-07,Up-regulated,,TOC.2T.00176
MSTRG.2963,389.3975596,3.271764026,0.958050885,3.47E-06,3.74E-05,Up-regulated,,TOC.12T.01031
MSTRG.4007,68.76739714,3.325369821,0.727998682,4.48E-08,9.30E-07,Up-regulated,,TOC.2T.00174
MSTRG.8472,90.25595064,3.3275069,0.82003881,3.75E-07,5.77E-06,Up-regulated,,TOC.5T.01672
MSTRG.4961,64.92304273,3.341251214,0.483368681,7.40E-14,7.30E-12,Up-regulated,,TOC.2T.01921
MSTRG.8321,2305.233664,3.355541896,1.096000386,9.44E-06,8.58E-05,Up-regulated,,TOC.5T.01433
MSTRG.4348,47.79533831,3.35663823,0.718293116,2.84E-08,6.31E-07,Up-regulated,,TOC.2T.00753
MSTRG.4988,14769.05903,3.405372972,0.925231841,1.48E-06,1.88E-05,Up-regulated,,TOC.2T.01961
MSTRG.3956,33.60500434,3.415658674,0.810360388,2.08E-07,3.48E-06,Up-regulated,,TOC.2T.00077
MSTRG.2175,814.2857232,3.439318843,0.554986829,8.77E-12,5.24E-10,Up-regulated,,TOC.11T.00522
MSTRG.3472,102.1081343,3.47663085,2.483124287,2.26E-04,0.001207249,Up-regulated,,TOC.13T.00712
MSTRG.2662,24194.48161,3.485844738,0.810025846,1.50E-07,2.64E-06,Up-regulated,,TOC.12T.00399
MSTRG.7927,1844.09179,3.532254746,0.674832527,2.13E-09,6.73E-08,Up-regulated,,TOC.5T.00792
MSTRG.1561,9962.891668,3.543876057,0.673350655,1.85E-09,5.98E-08,Up-regulated,,TOC.10T.00572
MSTRG.385,21.76755106,3.598844223,1.857420472,9.51E-05,5.85E-04,Up-regulated,,TOC.1T.00763
MSTRG.144,5514.048996,3.693417709,0.619051695,4.40E-11,2.19E-09,Up-regulated,,TOC.1T.00287
MSTRG.3822,700.2331728,3.799560121,0.694194032,7.33E-10,2.66E-08,Up-regulated,,TOC.14T.00610
MSTRG.353,291.847182,3.808554893,0.32552173,5.21E-33,6.44E-30,Up-regulated,,TOC.1T.00682
MSTRG.267,51.93147628,3.932163786,0.953398495,3.35E-07,5.25E-06,Up-regulated,,TOC.1T.00534
MSTRG.3954,16.12468981,4.017844429,1.15532766,2.74E-06,3.09E-05,Up-regulated,,TOC.2T.00075
MSTRG.50,23882.15841,4.023537548,1.064638793,1.10E-06,1.46E-05,Up-regulated,,TOC.1T.00107
MSTRG.2659,139.7298862,4.026573654,0.727174591,5.73E-10,2.15E-08,Up-regulated,,TOC.12T.00396
MSTRG.8120,19278.30286,4.172584973,1.062295564,6.71E-07,9.57E-06,Up-regulated,,TOC.5T.01134
MSTRG.2488,821.9814986,4.241512675,0.66453006,4.36E-12,2.78E-10,Up-regulated,,TOC.12T.00075
MSTRG.6559,104.7529224,4.365258545,0.671758499,2.07E-12,1.44E-10,Up-regulated,,TOC.3T.02231
MSTRG.4382,7597.862772,4.369175876,0.682860663,3.92E-12,2.55E-10,Up-regulated,,TOC.2T.00811
TOC.1T.02135,16.40293999,4.393764165,0.971590072,7.25E-08,1.42E-06,Up-regulated,,TOC.1T.02135
MSTRG.680,1682.621278,4.401678675,0.720700067,2.33E-11,1.26E-09,Up-regulated,,TOC.1T.01363
MSTRG.10459,173.5139347,4.470446361,1.732634844,1.97E-05,1.58E-04,Up-regulated,,TOC.8T.00442
MSTRG.5540,125.1865881,4.53757038,1.297622409,2.35E-06,2.74E-05,Up-regulated,,TOC.3T.00250
MSTRG.7297,549.1540713,4.594070629,1.130293682,4.01E-07,6.11E-06,Up-regulated,,TOC.4T.01238
MSTRG.10455,371.3477731,4.675581841,1.220716761,8.58E-07,1.18E-05,Up-regulated,,TOC.8T.00438
MSTRG.9806,5184.205334,4.897236624,0.922139723,1.73E-09,5.63E-08,Up-regulated,,TOC.7T.00624
TOC.12T.01022,7.251621459,5.000438771,0.911412298,6.63E-10,2.45E-08,Up-regulated,,TOC.12T.01022
