Class,GO_Name,GO_ID,GO_Level,P_value,EnrichmentScore,HitsGenesCountsInSelectedSet,HitsGenesCountsInBackground,AllGenesCountsInSelectedSet,AllGenesCountsInBackground,GenesOfSelectedSetInGOterm,padj_BH
Biological process,multicellular organismal process,GO:0032501,2,3.40E-04,1.273890973,111,2553,197,5772,"TOC.1T.02476,TOC.2T.01430,TOC.5T.01238,TOC.5T.00147,TOC.1T.01363,TOC.2T.01424,TOC.1T.00036,TOC.3T.00637,TOC.2T.01425,TOC.5T.00581,TOC.5T.00582,TOC.2T.02323,TOC.6T.00416,TOC.3T.01526,TOC.4T.00713,TOC.5T.01073,TOC.1T.01750,TOC.4T.00702,TOC.6T.00007,TOC.8T.00870,TOC.2T.01608,TOC.1T.01552,TOC.1T.00465,TOC.6T.01355,TOC.1T.00467,TOC.1T.00468,TOC.1T.00231,TOC.3T.01490,TOC.3T.01492,TOC.8T.00564,TOC.7T.00057,TOC.8T.00558,TOC.8T.00552,TOC.2T.02077,TOC.7T.01336,TOC.3T.01053,TOC.4T.00402,TOC.3T.02167,TOC.8T.00571,TOC.4T.00031,TOC.3T.00571,TOC.2T.01395,TOC.5T.01632,TOC.4T.01356,TOC.3T.01439,TOC.4T.01330,TOC.6T.00801,TOC.4T.01332,TOC.8T.01060,TOC.7T.01185,TOC.8T.01039,TOC.4T.00223,TOC.2T.02036,TOC.4T.00698,TOC.7T.00613,TOC.7T.00614,TOC.5T.01595,TOC.5T.01350,TOC.7T.00624,TOC.4T.01290,TOC.5T.01338,TOC.4T.01057,TOC.5T.01341,TOC.5T.01342,TOC.6T.00548,TOC.5T.00463,TOC.1T.02376,TOC.1T.02377,TOC.1T.02135,TOC.8T.00711,TOC.7T.01315,TOC.1T.00781,TOC.7T.00468,TOC.7T.00467,TOC.6T.01217,TOC.2T.01972,TOC.5T.00093,TOC.2T.00892,TOC.7T.00438,TOC.2T.00410,TOC.3T.00053,TOC.3T.01383,TOC.2T.01089,TOC.7T.01261,TOC.5T.00854,TOC.7T.01022,TOC.4T.00552,TOC.1T.00736,TOC.3T.01152,TOC.3T.01157,TOC.3T.01154,TOC.3T.01158,TOC.6T.00905,TOC.4T.00532,TOC.3T.01167,TOC.6T.01181,TOC.2T.00823,TOC.1T.01607,TOC.2T.01013,TOC.6T.00964,TOC.8T.00279,TOC.9T.00780,TOC.6T.00502,TOC.2T.00176,TOC.5T.01526,TOC.5T.00431,TOC.2T.02147,TOC.2T.01046,TOC.3T.00254,TOC.6T.00915,TOC.2T.01073,",0.026850134
Biological process,glucosamine-containing compound metabolic process,GO:1901071,6,3.61E-04,6.061963942,6,29,197,5772,"TOC.8T.00870,TOC.4T.00223,TOC.7T.00613,TOC.7T.00614,TOC.3T.00053,TOC.3T.00254,",0.027208958
Biological process,alpha-amino acid metabolic process,GO:1901605,8,4.29E-04,3.573108828,10,82,197,5772,"TOC.1T.01185,TOC.5T.01681,TOC.3T.00672,TOC.1T.00468,TOC.4T.00655,TOC.4T.00881,TOC.4T.00879,TOC.6T.00565,TOC.6T.01274,TOC.5T.00813,",0.030984455
Biological process,ecdysteroid biosynthetic process,GO:0045456,7,4.49E-04,7.324873096,5,20,197,5772,"TOC.5T.00581,TOC.3T.01439,TOC.8T.01039,TOC.7T.00468,TOC.7T.00467,",0.031163602
Biological process,aminoglycan metabolic process,GO:0006022,5,5.50E-04,4.769684807,7,43,197,5772,"TOC.8T.00870,TOC.4T.00223,TOC.7T.00613,TOC.7T.00614,TOC.4T.00813,TOC.3T.00053,TOC.3T.00254,",0.035335696
Biological process,carboxylic acid catabolic process,GO:0046395,7,5.55E-04,4.185641769,8,56,197,5772,"TOC.1T.01185,TOC.3T.00672,TOC.4T.00655,TOC.4T.00881,TOC.4T.00879,TOC.7T.01189,TOC.1T.00737,TOC.5T.00411,",0.034386633
Biological process,organic acid catabolic process,GO:0016054,5,5.55E-04,4.185641769,8,56,197,5772,"TOC.1T.01185,TOC.3T.00672,TOC.4T.00655,TOC.4T.00881,TOC.4T.00879,TOC.7T.01189,TOC.1T.00737,TOC.5T.00411,",0.034386633
Biological process,cell-substrate adhesion,GO:0031589,4,5.73E-04,6.976069616,5,21,197,5772,"TOC.9T.01194,TOC.5T.01632,TOC.4T.01332,TOC.2T.00410,TOC.2T.01064,",0.033149527
Biological process,organic hydroxy compound biosynthetic process,GO:1901617,5,6.35E-04,4.66128288,7,44,197,5772,"TOC.5T.00581,TOC.5T.01681,TOC.1T.00468,TOC.8T.00537,TOC.7T.00467,TOC.5T.00093,TOC.5T.00813,",0.035557381
Biological process,secondary metabolite biosynthetic process,GO:0044550,4,7.31E-04,4.557698816,7,45,197,5772,"TOC.5T.01681,TOC.1T.00468,TOC.4T.00655,TOC.4T.01290,TOC.5T.00093,TOC.5T.00813,TOC.6T.00915,",0.038430411
Biological process,developmental process,GO:0032502,2,8.25E-04,1.297041834,95,2146,197,5772,"TOC.1T.02476,TOC.2T.01430,TOC.5T.01238,TOC.5T.00147,TOC.9T.00023,TOC.1T.01363,TOC.2T.01424,TOC.1T.00036,TOC.3T.00637,TOC.2T.01425,TOC.5T.00581,TOC.5T.00582,TOC.2T.02323,TOC.6T.00416,TOC.3T.01526,TOC.4T.00713,TOC.5T.01073,TOC.1T.01750,TOC.4T.00702,TOC.6T.00007,TOC.8T.00870,TOC.1T.01552,TOC.1T.00465,TOC.1T.00467,TOC.1T.00468,TOC.1T.00231,TOC.3T.01490,TOC.3T.01492,TOC.8T.00564,TOC.7T.00057,TOC.8T.00558,TOC.8T.00552,TOC.2T.02077,TOC.7T.01336,TOC.9T.00643,TOC.3T.01053,TOC.4T.00402,TOC.8T.00571,TOC.3T.00571,TOC.2T.01395,TOC.5T.01632,TOC.4T.01356,TOC.3T.01439,TOC.4T.01330,TOC.6T.00801,TOC.4T.01332,TOC.8T.01039,TOC.4T.00223,TOC.4T.00698,TOC.7T.00613,TOC.7T.00614,TOC.5T.01350,TOC.7T.00624,TOC.4T.01290,TOC.5T.01338,TOC.4T.01057,TOC.5T.01341,TOC.5T.01342,TOC.6T.00548,TOC.5T.00463,TOC.1T.02376,TOC.1T.02377,TOC.7T.01315,TOC.1T.00781,TOC.7T.00468,TOC.7T.00467,TOC.6T.01217,TOC.2T.01972,TOC.5T.00093,TOC.7T.00438,TOC.2T.00410,TOC.3T.00053,TOC.2T.01089,TOC.7T.01261,TOC.5T.00854,TOC.4T.00552,TOC.1T.00736,TOC.3T.01152,TOC.3T.01157,TOC.3T.01154,TOC.3T.01158,TOC.6T.00905,TOC.4T.00532,TOC.3T.01167,TOC.1T.01607,TOC.6T.00964,TOC.9T.00780,TOC.6T.00502,TOC.2T.00176,TOC.5T.00431,TOC.2T.01046,TOC.3T.00254,TOC.2T.01073,TOC.3T.01113,TOC.2T.01064,",0.042102031
Biological process,lipid metabolic process,GO:0006629,4,0.001028089,2.039838077,22,316,197,5772,"TOC.5T.00581,TOC.5T.00582,TOC.6T.00416,TOC.1T.01568,TOC.7T.00034,TOC.3T.01439,TOC.7T.01189,TOC.8T.01039,TOC.5T.01350,TOC.7T.00624,TOC.4T.01290,TOC.5T.01338,TOC.5T.01341,TOC.5T.01342,TOC.7T.00468,TOC.7T.00467,TOC.2T.01750,TOC.1T.00737,TOC.4T.00532,TOC.4T.00141,TOC.9T.00780,TOC.5T.00411,",0.050963835
Biological process,biogenic amine metabolic process,GO:0006576,6,0.001039239,5.022770123,6,35,197,5772,"TOC.5T.01681,TOC.3T.00672,TOC.6T.00007,TOC.4T.00655,TOC.5T.00813,TOC.6T.00915,",0.050085545
Biological process,amine metabolic process,GO:0009308,5,0.001212205,4.883248731,6,36,197,5772,"TOC.5T.01681,TOC.3T.00672,TOC.6T.00007,TOC.4T.00655,TOC.5T.00813,TOC.6T.00915,",0.05392757
Biological process,steroid biosynthetic process,GO:0006694,6,0.00133917,5.859898477,5,25,197,5772,"TOC.5T.00581,TOC.3T.01439,TOC.8T.01039,TOC.7T.00468,TOC.7T.00467,",0.055320485
Biological process,reproductive behavior,GO:0019098,4,0.001766229,2.802560141,11,115,197,5772,"TOC.1T.00468,TOC.1T.00231,TOC.3T.02167,TOC.4T.01290,TOC.2T.00892,TOC.3T.01154,TOC.3T.01158,TOC.3T.01167,TOC.8T.00279,TOC.5T.00431,TOC.6T.00915,",0.069645629
Biological process,hormone biosynthetic process,GO:0042446,6,0.001865014,4.507614213,6,39,197,5772,"TOC.5T.00581,TOC.3T.01439,TOC.8T.01039,TOC.4T.01290,TOC.7T.00468,TOC.7T.00467,",0.071906668
Biological process,ketone biosynthetic process,GO:0042181,5,0.001925121,5.425831923,5,27,197,5772,"TOC.5T.00581,TOC.3T.01439,TOC.8T.01039,TOC.7T.00468,TOC.7T.00467,",0.072610529
Biological process,response to bacterium,GO:0009617,6,0.003598608,2.712915962,10,108,197,5772,"TOC.5T.01681,TOC.1T.01583,TOC.7T.00087,TOC.6T.00548,TOC.1T.01410,TOC.4T.00813,TOC.3T.01152,TOC.3T.01157,TOC.5T.00813,TOC.5T.00697,",0.122423218
Biological process,central nervous system development,GO:0007417,5,0.00787076,2.127896095,13,179,197,5772,"TOC.1T.01363,TOC.8T.00870,TOC.1T.00465,TOC.1T.00467,TOC.3T.01053,TOC.5T.01632,TOC.8T.01039,TOC.7T.00467,TOC.7T.00438,TOC.2T.01089,TOC.1T.00736,TOC.6T.00905,TOC.2T.00176,",0.231453695
Biological process,amino acid metabolic process,GO:0006520,7,0.008023376,2.421445652,10,121,197,5772,"TOC.1T.01185,TOC.5T.01681,TOC.3T.00672,TOC.1T.00468,TOC.4T.00655,TOC.4T.00881,TOC.4T.00879,TOC.6T.00565,TOC.6T.01274,TOC.5T.00813,",0.232009298
Biological process,carboxylic acid metabolic process,GO:0019752,6,0.008987099,1.872523949,17,266,197,5772,"TOC.1T.01185,TOC.5T.01681,TOC.3T.00672,TOC.1T.00468,TOC.1T.01568,TOC.4T.00655,TOC.4T.00881,TOC.4T.00879,TOC.9T.00430,TOC.7T.01189,TOC.4T.00698,TOC.6T.00565,TOC.6T.01274,TOC.1T.00737,TOC.5T.00813,TOC.5T.00411,TOC.1T.00906,",0.251493833
Biological process,cuticle pigmentation,GO:0048067,4,0.010968606,3.662436548,5,40,197,5772,"TOC.1T.01552,TOC.1T.00468,TOC.5T.00093,TOC.1T.01607,TOC.3T.00254,",0.264312948
Biological process,biological process involved in interspecies interaction between organisms,GO:0044419,2,0.01357757,1.791695578,17,278,197,5772,"TOC.5T.01681,TOC.1T.01583,TOC.7T.00087,TOC.2T.01765,TOC.6T.00548,TOC.1T.01410,TOC.4T.00813,TOC.3T.01383,TOC.3T.01152,TOC.3T.01157,TOC.3T.01154,TOC.3T.01158,TOC.3T.01167,TOC.5T.00813,TOC.2T.00823,TOC.5T.00697,TOC.2T.01073,",0.318338971
Biological process,organic acid metabolic process,GO:0006082,4,0.014496081,1.778897752,17,280,197,5772,"TOC.1T.01185,TOC.5T.01681,TOC.3T.00672,TOC.1T.00468,TOC.1T.01568,TOC.4T.00655,TOC.4T.00881,TOC.4T.00879,TOC.9T.00430,TOC.7T.01189,TOC.4T.00698,TOC.6T.00565,TOC.6T.01274,TOC.1T.00737,TOC.5T.00813,TOC.5T.00411,TOC.1T.00906,",0.335342673
Biological process,oxoacid metabolic process,GO:0043436,5,0.014496081,1.778897752,17,280,197,5772,"TOC.1T.01185,TOC.5T.01681,TOC.3T.00672,TOC.1T.00468,TOC.1T.01568,TOC.4T.00655,TOC.4T.00881,TOC.4T.00879,TOC.9T.00430,TOC.7T.01189,TOC.4T.00698,TOC.6T.00565,TOC.6T.01274,TOC.1T.00737,TOC.5T.00813,TOC.5T.00411,TOC.1T.00906,",0.335342673
Biological process,organic hydroxy compound metabolic process,GO:1901615,4,0.014633134,2.333587889,9,113,197,5772,"TOC.5T.00581,TOC.5T.01681,TOC.6T.00007,TOC.1T.00468,TOC.8T.00537,TOC.3T.01439,TOC.7T.00467,TOC.5T.00093,TOC.5T.00813,",0.329720619
Biological process,response to biotic stimulus,GO:0009607,3,0.016085782,1.796137464,16,261,197,5772,"TOC.5T.01681,TOC.1T.01583,TOC.7T.00087,TOC.6T.00548,TOC.1T.01410,TOC.4T.00813,TOC.3T.01383,TOC.3T.01152,TOC.3T.01157,TOC.3T.01154,TOC.3T.01158,TOC.3T.01167,TOC.5T.00813,TOC.2T.00823,TOC.5T.00697,TOC.2T.01073,",0.313582377
Biological process,response to external biotic stimulus,GO:0043207,4,0.016085782,1.796137464,16,261,197,5772,"TOC.5T.01681,TOC.1T.01583,TOC.7T.00087,TOC.6T.00548,TOC.1T.01410,TOC.4T.00813,TOC.3T.01383,TOC.3T.01152,TOC.3T.01157,TOC.3T.01154,TOC.3T.01158,TOC.3T.01167,TOC.5T.00813,TOC.2T.00823,TOC.5T.00697,TOC.2T.01073,",0.313582377
Biological process,response to other organism,GO:0051707,5,0.016085782,1.796137464,16,261,197,5772,"TOC.5T.01681,TOC.1T.01583,TOC.7T.00087,TOC.6T.00548,TOC.1T.01410,TOC.4T.00813,TOC.3T.01383,TOC.3T.01152,TOC.3T.01157,TOC.3T.01154,TOC.3T.01158,TOC.3T.01167,TOC.5T.00813,TOC.2T.00823,TOC.5T.00697,TOC.2T.01073,",0.313582377
Biological process,"regulation of tube architecture, open tracheal system",GO:0035152,4,0.017651203,2.596157553,7,79,197,5772,"TOC.8T.00870,TOC.5T.01632,TOC.7T.00613,TOC.7T.00614,TOC.4T.00552,TOC.2T.01046,TOC.3T.00254,",0.332878667
Biological process,male mating behavior,GO:0060179,6,0.018412736,2.835434747,6,62,197,5772,"TOC.1T.00468,TOC.1T.00231,TOC.4T.01290,TOC.2T.00892,TOC.8T.00279,TOC.6T.00915,",0.343506418
Biological process,small molecule biosynthetic process,GO:0044283,4,0.018737473,2.039838077,11,158,197,5772,"TOC.1T.01185,TOC.5T.00581,TOC.1T.01568,TOC.8T.00537,TOC.4T.00881,TOC.3T.01439,TOC.8T.01039,TOC.6T.00565,TOC.6T.01274,TOC.7T.00468,TOC.7T.00467,",0.338640795
Biological process,carbohydrate derivative catabolic process,GO:1901136,5,0.019791586,2.790427846,6,63,197,5772,"TOC.6T.00416,TOC.7T.00613,TOC.7T.00614,TOC.4T.00813,TOC.3T.00053,TOC.3T.02204,",0.354004144
Biological process,molting cycle,GO:0042303,3,0.020007046,2.532054898,7,81,197,5772,"TOC.1T.01552,TOC.1T.00468,TOC.3T.01439,TOC.7T.00467,TOC.3T.00053,TOC.5T.00431,TOC.3T.00254,",0.354206368
Biological process,"molting cycle, chitin-based cuticle",GO:0007591,4,0.020007046,2.532054898,7,81,197,5772,"TOC.1T.01552,TOC.1T.00468,TOC.3T.01439,TOC.7T.00467,TOC.3T.00053,TOC.5T.00431,TOC.3T.00254,",0.354206368
Biological process,response to xenobiotic stimulus,GO:0009410,4,0.022114774,1.614297101,20,363,197,5772,"TOC.1T.01185,TOC.2T.02323,TOC.5T.01681,TOC.8T.00870,TOC.8T.00537,TOC.3T.02167,TOC.8T.01035,TOC.4T.00223,TOC.8T.01036,TOC.6T.00565,TOC.7T.00613,TOC.7T.00614,TOC.5T.00261,TOC.5T.01595,TOC.3T.00512,TOC.6T.01274,TOC.3T.00053,TOC.5T.00813,TOC.3T.00254,TOC.3T.01113,",0.35526975
Biological process,secondary metabolic process,GO:0019748,3,0.025361628,2.412899373,7,85,197,5772,"TOC.5T.01681,TOC.1T.00468,TOC.4T.00655,TOC.4T.01290,TOC.5T.00093,TOC.5T.00813,TOC.6T.00915,",0.389401991
Biological process,defense response to bacterium,GO:0042742,7,0.028376222,2.357430422,7,87,197,5772,"TOC.5T.01681,TOC.1T.01583,TOC.7T.00087,TOC.1T.01410,TOC.4T.00813,TOC.5T.00813,TOC.5T.00697,",0.390736077
Biological process,"regulation of tube size, open tracheal system",GO:0035151,6,0.029015868,2.872499254,5,51,197,5772,"TOC.8T.00870,TOC.7T.00613,TOC.7T.00614,TOC.2T.01046,TOC.3T.00254,",0.39639788
Biological process,male courtship behavior,GO:0008049,7,0.031244536,2.817258883,5,52,197,5772,"TOC.1T.00468,TOC.1T.00231,TOC.2T.00892,TOC.8T.00279,TOC.6T.00915,",0.398597575
Biological process,pigment biosynthetic process,GO:0046148,4,0.031441557,2.511385062,6,70,197,5772,"TOC.5T.01681,TOC.1T.00468,TOC.4T.00655,TOC.5T.00093,TOC.5T.00813,TOC.6T.00915,",0.398183217
Biological process,courtship behavior,GO:0007619,6,0.033405543,2.476013441,6,71,197,5772,"TOC.1T.00468,TOC.1T.00231,TOC.4T.01290,TOC.2T.00892,TOC.8T.00279,TOC.6T.00915,",0.413990125
Biological process,lipid catabolic process,GO:0016042,5,0.033405543,2.476013441,6,71,197,5772,"TOC.5T.00582,TOC.6T.00416,TOC.7T.01189,TOC.2T.01750,TOC.1T.00737,TOC.5T.00411,",0.413990125
Biological process,mating behavior,GO:0007617,5,0.035115603,2.253807107,7,91,197,5772,"TOC.1T.00468,TOC.1T.00231,TOC.4T.01290,TOC.2T.00892,TOC.8T.00279,TOC.5T.00431,TOC.6T.00915,",0.340366319
Biological process,mating,GO:0007618,4,0.035115603,2.253807107,7,91,197,5772,"TOC.1T.00468,TOC.1T.00231,TOC.4T.01290,TOC.2T.00892,TOC.8T.00279,TOC.5T.00431,TOC.6T.00915,",0.340366319
Biological process,response to endoplasmic reticulum stress,GO:0034976,5,0.037568378,2.408177456,6,73,197,5772,"TOC.8T.00640,TOC.5T.01342,TOC.2T.00883,TOC.2T.00886,TOC.5T.01754,TOC.5T.01749,",0.343058614
Biological process,regulation of tube size,GO:0035150,5,0.038562749,2.663590217,5,55,197,5772,"TOC.8T.00870,TOC.7T.00613,TOC.7T.00614,TOC.2T.01046,TOC.3T.00254,",0.350295131
Biological process,phenol-containing compound metabolic process,GO:0018958,5,0.043977338,2.570130911,5,57,197,5772,"TOC.5T.01681,TOC.6T.00007,TOC.1T.00468,TOC.5T.00093,TOC.5T.00813,",0.383420507
Biological process,lipid modification,GO:0030258,6,0.046847323,2.525818309,5,58,197,5772,"TOC.7T.00034,TOC.7T.01189,TOC.1T.00737,TOC.4T.00532,TOC.5T.00411,",0.404378637
Biological process,cellular response to xenobiotic stimulus,GO:0071466,5,0.047213457,1.670585092,13,228,197,5772,"TOC.1T.01185,TOC.5T.01681,TOC.8T.00870,TOC.8T.00537,TOC.4T.00223,TOC.6T.00565,TOC.7T.00613,TOC.7T.00614,TOC.6T.01274,TOC.3T.00053,TOC.5T.00813,TOC.3T.00254,TOC.3T.01113,",0.405521523
Biological process,digestive system development,GO:0055123,5,0.0493803,2.253807107,6,78,197,5772,"TOC.1T.00465,TOC.1T.00467,TOC.5T.01632,TOC.8T.01039,TOC.7T.00467,TOC.3T.00254,",0.422043447
Biological process,digestive tract development,GO:0048565,5,0.0493803,2.253807107,6,78,197,5772,"TOC.1T.00465,TOC.1T.00467,TOC.5T.01632,TOC.8T.01039,TOC.7T.00467,TOC.3T.00254,",0.422043447
