Not_Use,Generation,Order_by_Cross_Type,Off_Sex,Prop,Pair_ID,Female,Male,Mother,Father,Parental_genotype,Parental_phenotype,Mother_genotype,Cross_Type,Off_M,Off_Lw_M,Off_Sw_M,Off_F,Off_Lw_F,Off_Sw_F,Prop.Sw.M,Prop.Sw.F,Note
N,F10-F11,1,F,0,125,B4_Lw_F18,B3_Lw_M13,Lw,Lw,XL x XLXL,Lw(M) x Lw(F),Lw_Homo,Lw(M)-Lw(F)(Homo),56,56,0,48,48,0,0,0,
N,F10-F11,1,M,0,132,B4_Lw_F10,B4_Lw_M11,Lw,Lw,XL x XLXL,Lw(M) x Lw(F),Lw_Homo,Lw(M)-Lw(F)(Homo),26,26,0,23,23,0,0,0,
N,F10-F11,1,F,0,132,B4_Lw_F10,B4_Lw_M11,Lw,Lw,XL x XLXL,Lw(M) x Lw(F),Lw_Homo,Lw(M)-Lw(F)(Homo),26,26,0,23,23,0,0,0,
N,F10-F11,2,F,0,5,B2_Lw_F5,B2_Lw_M2,Lw,Lw,XL x XLXs,Lw(M) x Lw(F),Lw_HE,Lw(M)-Lw(F)(Hete),50,25,25,42,42,0,0.5,0,
N,F10-F11,2,M,0.5,5,B2_Lw_F5,B2_Lw_M2,Lw,Lw,XL x XLXs,Lw(M) x Lw(F),Lw_HE,Lw(M)-Lw(F)(Hete),50,25,25,42,42,0,0.5,0,
N,F10-F11,2,M,0.4,6,B2_Lw_F3,B2_Lw_M1,Lw,Lw,XL x XLXs,Lw(M) x Lw(F),Lw_HE,Lw(M)-Lw(F)(Hete),42,25,17,38,38,0,0.4,0,
N,F10-F11,2,F,0,6,B2_Lw_F3,B2_Lw_M1,Lw,Lw,XL x XLXs,Lw(M) x Lw(F),Lw_HE,Lw(M)-Lw(F)(Hete),42,25,17,38,38,0,0.4,0,
N,F10-F11,2,M,0.63,106,B2_Lw_F15,B3_Lw_M7,Lw,Lw,XL x XLXs,Lw(M) x Lw(F),Lw_HE,Lw(M)-Lw(F)(Hete),8,3,5,10,10,0,0.63,0,
N,F10-F11,2,F,0,106,B2_Lw_F15,B3_Lw_M7,Lw,Lw,XL x XLXs,Lw(M) x Lw(F),Lw_HE,Lw(M)-Lw(F)(Hete),8,3,5,10,10,0,0.63,0,
N,F10-F11,2,M,0.49,112,B3_Lw_F11,B3_Lw_M16,Lw,Lw,XL x XLXs,Lw(M) x Lw(F),Lw_HE,Lw(M)-Lw(F)(Hete),51,26,25,52,52,0,0.49,0,
N,F10-F11,2,F,0,112,B3_Lw_F11,B3_Lw_M16,Lw,Lw,XL x XLXs,Lw(M) x Lw(F),Lw_HE,Lw(M)-Lw(F)(Hete),51,26,25,52,52,0,0.49,0,
